# bias1 bias2 bias3 bias4 gain
4.79 4.59 1.88 1.39 1.40459
4.79 4.59 1.88 1.4 0.975828
4.79 4.59 1.88 1.41 1.1666
4.79 4.59 1.88 1.42 1.46304
4.79 4.59 1.89 1.38 1.04121
4.79 4.59 1.89 1.39 0.983511
4.79 4.59 1.89 1.4 1.22567
4.79 4.59 1.89 1.41 1.24804
4.79 4.59 1.89 1.42 1.96386
4.79 4.59 1.9 1.38 1.35463
4.79 4.59 1.9 1.39 1.09902
4.79 4.59 1.9 1.4 1.623
4.79 4.59 1.9 1.41 1.30792
4.79 4.59 1.9 1.42 1.56511
4.79 4.59 1.91 1.38 1.46646
4.79 4.59 1.91 1.39 1.39325
4.79 4.59 1.91 1.4 1.12833
4.79 4.59 1.91 1.41 1.82266
4.79 4.59 1.91 1.42 1.60719
4.79 4.59 1.92 1.38 2.01897
4.79 4.59 1.92 1.39 1.05808
4.79 4.59 1.92 1.4 1.39219
4.79 4.59 1.92 1.41 1.34494
4.79 4.59 1.92 1.42 3.42348
4.79 4.6 1.88 1.38 1.08303
4.79 4.6 1.88 1.39 1.1981
4.79 4.6 1.88 1.4 1.16953
4.79 4.6 1.88 1.41 1.12538
4.79 4.6 1.88 1.42 1.04526
4.79 4.6 1.89 1.38 1.01994
4.79 4.6 1.89 1.39 1.03915
4.79 4.6 1.89 1.4 0.978086
4.79 4.6 1.89 1.41 1.03782
4.79 4.6 1.89 1.42 1.02931
4.79 4.6 1.9 1.38 1.25474
4.79 4.6 1.9 1.39 1.11449
4.79 4.6 1.9 1.4 1.10792
4.79 4.6 1.9 1.41 1.00949
4.79 4.6 1.9 1.42 1.14896
4.79 4.6 1.91 1.38 1.02136
4.79 4.6 1.91 1.39 1.54875
4.79 4.6 1.91 1.4 1.12515
4.79 4.6 1.91 1.41 1.15316
4.79 4.6 1.91 1.42 1.24257
4.79 4.6 1.92 1.38 0.910656
4.79 4.6 1.92 1.39 1.17971
4.79 4.6 1.92 1.4 1.11421
4.79 4.6 1.92 1.41 1.20412
4.79 4.6 1.92 1.42 1.15443
4.79 4.61 1.88 1.38 1.07293
4.79 4.61 1.88 1.39 1.09762
4.79 4.61 1.88 1.4 1.10501
4.79 4.61 1.88 1.41 1.64754
4.79 4.61 1.88 1.42 1.02948
4.79 4.61 1.89 1.38 1.16857
4.79 4.61 1.89 1.39 1.24001
4.79 4.61 1.89 1.4 1.17038
4.79 4.61 1.89 1.41 1.00197
4.79 4.61 1.89 1.42 1.2083
4.79 4.61 1.9 1.38 1.12462
4.79 4.61 1.9 1.39 1.14
4.79 4.61 1.9 1.4 1.08361
4.79 4.61 1.9 1.41 1.24654
4.79 4.61 1.9 1.42 1.03859
4.79 4.61 1.91 1.38 1.18301
4.79 4.61 1.91 1.39 1.4321
4.79 4.61 1.91 1.4 1.15953
4.79 4.61 1.91 1.41 1.07756
4.79 4.61 1.91 1.42 1.18297
4.79 4.61 1.92 1.38 1.14692
4.79 4.61 1.92 1.39 1.0813
4.79 4.61 1.92 1.4 0.967482
4.79 4.61 1.92 1.41 1.12933
4.79 4.61 1.92 1.42 1.14608
4.79 4.62 1.88 1.38 1.17506
4.79 4.62 1.88 1.39 0.92859
4.79 4.62 1.88 1.4 1.2246
4.79 4.62 1.88 1.41 1.02768
4.79 4.62 1.88 1.42 1.67534
4.79 4.62 1.89 1.38 1.08334
4.79 4.62 1.89 1.39 1.15422
4.79 4.62 1.89 1.4 1.08799
4.79 4.62 1.89 1.41 1.15282
4.79 4.62 1.89 1.42 1.07474
4.79 4.62 1.9 1.38 1.0599
4.79 4.62 1.9 1.39 1.04316
4.79 4.62 1.9 1.4 1.12506
4.79 4.62 1.9 1.41 0.9276
4.79 4.62 1.9 1.42 1.11051
4.79 4.62 1.91 1.38 1.04436
4.79 4.62 1.91 1.39 1.19667
4.79 4.62 1.91 1.4 0.981036
4.79 4.62 1.91 1.41 1.10802
4.79 4.62 1.91 1.42 1.05087
4.79 4.62 1.92 1.38 1.08683
4.79 4.62 1.92 1.39 1.09606
4.79 4.62 1.92 1.4 1.09778
4.79 4.62 1.92 1.41 1.13045
4.79 4.62 1.92 1.42 1.25638
4.8 4.58 1.88 1.38 1.10649
4.8 4.58 1.88 1.39 1.32097
4.8 4.58 1.88 1.4 1.01018
4.8 4.58 1.88 1.41 1.02742
4.8 4.58 1.88 1.42 1.11034
4.8 4.58 1.89 1.38 1.10781
4.8 4.58 1.89 1.39 1.30972
4.8 4.58 1.89 1.4 1.34821
4.8 4.58 1.89 1.41 1.13548
4.8 4.58 1.89 1.42 1.11406
4.8 4.58 1.9 1.38 1.12088
4.8 4.58 1.9 1.39 1.02185
4.8 4.58 1.9 1.4 1.05643
4.8 4.58 1.9 1.41 2.07483
4.8 4.58 1.9 1.42 1.06473
4.8 4.58 1.91 1.38 1.29635
4.8 4.58 1.91 1.39 1.01566
4.8 4.58 1.91 1.4 1.00941
4.8 4.58 1.91 1.41 1.05667
4.8 4.58 1.91 1.42 1.20865
4.8 4.58 1.92 1.38 0.972931
4.8 4.58 1.92 1.39 1.07916
4.8 4.58 1.92 1.4 1.00585
4.8 4.58 1.92 1.41 1.34934
4.8 4.58 1.92 1.42 1.04449
4.8 4.59 1.88 1.38 1.28571
4.8 4.59 1.88 1.39 1.07962
4.8 4.59 1.88 1.4 1.80542
4.8 4.59 1.88 1.41 1.14433
4.8 4.59 1.88 1.42 1.30349
4.8 4.59 1.89 1.38 1.15784
4.8 4.59 1.89 1.39 1.13626
4.8 4.59 1.89 1.4 1.06052
4.8 4.59 1.89 1.41 1.2016
4.8 4.59 1.89 1.42 1.62016
4.8 4.59 1.9 1.38 1.39495
4.8 4.59 1.9 1.39 1.58246
4.8 4.59 1.9 1.4 1.30764
4.8 4.59 1.9 1.41 1.22155
4.8 4.59 1.9 1.42 1.31082
4.8 4.59 1.91 1.38 1.5068
4.8 4.59 1.91 1.39 1.3812
4.8 4.59 1.91 1.4 1.34959
4.8 4.59 1.91 1.41 1.19295
4.8 4.59 1.91 1.42 1.27508
4.8 4.59 1.92 1.38 1.20369
4.8 4.59 1.92 1.39 1.32498
4.8 4.59 1.92 1.4 1.15442
4.8 4.59 1.92 1.41 1.41509
4.8 4.59 1.92 1.42 1.45808
4.8 4.6 1.88 1.38 0.962388
4.8 4.6 1.88 1.39 1.37492
4.8 4.6 1.88 1.4 1.06984
4.8 4.6 1.88 1.41 1.08867
4.8 4.6 1.88 1.42 1.04849
4.8 4.6 1.89 1.38 1.16651
4.8 4.6 1.89 1.39 0.959938
4.8 4.6 1.89 1.4 1.19262
4.8 4.6 1.89 1.41 1.01926
4.8 4.6 1.89 1.42 0.912697
4.8 4.6 1.9 1.38 1.19826
4.8 4.6 1.9 1.39 1.04046
4.8 4.6 1.9 1.4 1.19872
4.8 4.6 1.9 1.41 1.08849
4.8 4.6 1.9 1.42 1.05877
4.8 4.6 1.91 1.38 0.959283
4.8 4.6 1.91 1.39 1.16166
4.8 4.6 1.91 1.4 1.01097
4.8 4.6 1.91 1.41 0.924481
4.8 4.6 1.91 1.42 0.975027
4.8 4.6 1.92 1.38 1.08582
4.8 4.6 1.92 1.39 1.01463
4.8 4.6 1.92 1.4 1.00551
4.8 4.6 1.92 1.41 1.23055
