bias4Value Gain
0 4950.5
0.05 4950.5
0.1 4950.5
0.15 4950.5
0.2 4950.5
0.25 4950.5
0.3 4950.5
0.35 4950.5
0.4 4950.5
0.45 4950.5
0.5 4950.5
0.55 4950.5
0.6 4962.78
0.65 4962.78
0.7 4962.78
0.75 4950.5
0.8 4950.5
0.85 4938.27
0.9 4901.96
0.95 4878.05
1 4830.92
1.05 4784.69
1.1 4694.84
1.15 4566.21
1.2 3676.47
1.25 3913.89
1.3 4301.08
1.35 4395.6
1.4 4444.44
1.45 4484.3
1.5 4514.67
1.55 4535.15
1.6 4545.45
1.65 4555.81
1.7 4576.66
1.75 4587.16
1.8 4587.16
1.85 4597.7
1.9 4597.7
1.95 4608.29
2 4608.29
2.05 4618.94
2.1 4629.63
2.15 4618.94
2.2 4629.63
2.25 4629.63
2.3 4629.63
2.35 4640.37
2.4 4640.37
2.45 4640.37
2.5 4651.16
2.55 4640.37
2.6 4640.37
2.65 4651.16
2.7 4651.16
2.75 4651.16
2.8 4640.37
2.85 4651.16
2.9 4651.16
2.95 4651.16
3 4651.16
