ang,peso,gx,gy,gz,desv_grad,b1_ideal,b1_medido,voto_ideal1_v,voto_ideal1_t,b2_ideal,b2_medido,voto_ideal2_v,voto_ideal2_t,b3_ideal,b3_medido,voto_ideal3_v,voto_ideal3_t,b4_ideal,b4_medido,voto_ideal4_v,voto_ideal4_t,cX1,tX1,cX2,tX2,cX3,tX3,cX4,tX4,XPv,XPt,Xv,Xt,XNv,XNt,cY1,tY1,cY2,tY2,cY3,tY3,cY4,tY4,YPv,YPt,Yv,Yt,YNv,YNt,cZ1,tZ1,cZ2,tZ2,cZ3,tZ3,cZ4,tZ4,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,empate_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,empate_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,3.0272,-0.0011115,-0.0009115,0,0,0.0011115,0.0009875,0,1,-0.0011115,-0.0010495,0,0,0.0011115,0.0009415,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34161e-09,8.34161e-09,5,3.75409e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.03377e-07,3.83674e-09,3.83674e-09,4.99999,5,5,4.99999,3.83674e-09,3.83674e-09,1.77863e-06,5,0,0,3,0,1,0,1,2,2,0
5,0.00190265,0.996195,0.0616284,-0.0616284,2.88479,-0.00110727,-0.000907272,0,0,0.00097027,0.000846272,0,1,-0.00110727,-0.00104527,0,0,0.00124427,0.00107427,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75419e-08,1.66832e-08,5,3.75449e-08,5,8.3416e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.02334e-07,3.83674e-09,3.83674e-09,4.565e-09,5,5,4.99999,3.83674e-09,3.83674e-09,5,5,0,0,3,0,1,0,1,2,2,0
10,0.00379082,0.984808,0.122788,-0.122788,2.91371,-0.00109461,-0.000894612,0,0,0.000821657,0.000697656,0,1,-0.00109461,-0.00103261,0,0,0.00136757,0.00119757,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75417e-08,1.66832e-08,5,3.75447e-08,5,8.3416e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,9.94201e-08,3.83673e-09,3.83675e-09,3.88204e-09,5,5,4.99999,3.83675e-09,3.83673e-09,5,5,0,0,3,0,1,0,1,2,2,0
15,0.00565014,0.965926,0.183013,-0.183013,3.10793,-0.00107363,-0.000873628,0,0,0.000666789,0.000542788,0,1,-0.00107363,-0.00101163,0,0,0.00148046,0.00131046,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75434e-08,1.66832e-08,5,3.75447e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,9.51788e-08,3.83672e-09,3.83675e-09,3.83732e-09,5,5,4.99999,3.83675e-09,3.83672e-09,5,5,0,0,3,0,1,0,1,2,2,0
20,0.00746646,0.939693,0.241845,-0.241845,3.43191,-0.00104447,-0.000844468,0,0,0.000506847,0.000382848,0,1,-0.00104447,-0.000982468,0,0,0.00158209,0.00141209,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.7544e-08,1.66832e-08,5,3.75436e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,9.02535e-08,3.83671e-09,3.83676e-09,3.83679e-09,5,5,4.99999,3.83676e-09,3.83671e-09,5,5,0,0,3,0,1,0,1,2,2,0
25,0.00922596,0.906308,0.298836,-0.298836,3.84089,-0.00100736,-0.00080736,0,0,0.000343048,0.000219048,0,1,-0.00100736,-0.00094536,0,0,0.00167167,0.00150168,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75442e-08,1.66832e-08,5,3.75431e-08,5,8.3416e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,8.51936e-08,3.8367e-09,3.83676e-09,3.83676e-09,5,5,4.99999,3.83676e-09,3.8367e-09,5,5,0,0,3,0,1,0,1,2,2,0
30,0.0109152,0.866025,0.353553,-0.353553,4.29543,-0.000962587,-0.000762588,2,2,0.000176638,5.264e-05,0,1,-0.000962587,-0.000900588,2,0,0.00174854,0.00157854,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75429e-08,1.66832e-08,5,3.75435e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,8.03693e-08,3.83663e-09,3.83676e-09,3.83676e-09,5,5,4.99999,3.83676e-09,3.83663e-09,5,5,2,0,1,0,3,1,0,1,2,1
35,0.0125214,0.819152,0.40558,-0.40558,4.7661,-0.000910487,-0.000710488,2,2,8.88363e-06,-0.000115116,0,1,-0.000910487,-0.000848488,2,0,0.00181209,0.00164209,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75429e-08,1.66832e-08,5,3.75431e-08,5,8.34162e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,7.59797e-08,3.86999e-09,3.83676e-09,3.83676e-09,5,5,4.99999,3.83677e-09,3.86999e-09,5,5,2,0,1,0,3,1,0,1,2,1
40,0.0140324,0.766044,0.454519,-0.454519,5.23144,-0.000851458,-0.00065146,0,0,-0.000158938,-0.00028294,0,1,-0.000851458,-0.00078946,0,0,0.00186186,0.00169186,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75436e-08,1.66832e-08,5,3.75444e-08,5,8.3416e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,7.21042e-08,-1.75701e-07,3.83677e-09,3.83676e-09,5,5,4.99999,3.83677e-09,-1.75701e-07,5,5,0,0,3,0,1,0,1,2,2,0
45,0.0154365,0.707107,0.5,-0.5,5.67615,-0.000785949,-0.000585948,2,2,-0.000325551,-0.000449552,0,1,-0.000785949,-0.000723948,2,0,0.00189745,0.00172745,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75441e-08,1.66832e-08,5,3.75444e-08,5,8.34162e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,4.99999,6.87574e-08,5.61595e-09,3.83677e-09,3.83677e-09,4.99999,5,4.99999,3.83677e-09,5.61595e-09,5,5,2,0,1,0,3,1,0,1,2,1
