ang,peso,gx,gy,gz,desv_grad,b1_ideal,b1_medido,voto_ideal1_v,voto_ideal1_t,b2_ideal,b2_medido,voto_ideal2_v,voto_ideal2_t,b3_ideal,b3_medido,voto_ideal3_v,voto_ideal3_t,b4_ideal,b4_medido,voto_ideal4_v,voto_ideal4_t,cX1,tX1,cX2,tX2,cX3,tX3,cX4,tX4,XPv,XPt,Xv,Xt,XNv,XNt,cY1,tY1,cY2,tY2,cY3,tY3,cY4,tY4,YPv,YPt,Yv,Yt,YNv,YNt,cZ1,tZ1,cZ2,tZ2,cZ3,tZ3,cZ4,tZ4,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,empate_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,empate_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,8.10804,-0.0005,-0.0003,0,0,0.0005,0.000376,0,1,-0.0005,-0.000438,0,0,0.0005,0.00033,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34162e-09,8.34163e-09,5,3.75402e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,5.98591e-08,3.83804e-09,3.88058e-09,4.99997,5,5,4.99999,3.88058e-09,3.83804e-09,1.78049e-06,5,0,0,3,0,1,0,1,2,2,0
5,0.00190265,0.996195,1.06735e-17,-0.0871557,6.51183,-0.000541675,-0.000341676,0,0,0.000454519,0.00033052,0,1,-0.000454519,-0.00039252,0,2,0.000541675,0.000371676,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75432e-08,1.66832e-08,5,3.75438e-08,5,8.34163e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.85341e-06,3.85711e-09,3.8575e-09,2.74431e-06,5,5,4.99984,3.8575e-09,3.85711e-09,4.99996,5,0,0,3,0,1,1,0,1,2,1
10,0.00379082,0.984808,2.12658e-17,-0.173648,5.02985,-0.000579228,-0.000379228,0,0,0.00040558,0.00028158,0,1,-0.00040558,-0.00034358,0,2,0.000579228,0.000409228,2,1,5,5,5,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,3.75417e-08,3.75411e-08,3.75435e-08,1.66832e-08,3.75406e-08,5,5,8.3416e-09,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,4.99956,3.88448e-09,3.84085e-09,2.55551e-08,5,5,1.61674e-05,3.84085e-09,3.88448e-09,5,5,0,0,3,0,1,1,0,1,2,1
15,0.00565014,0.965926,3.16962e-17,-0.258819,3.96181,-0.000612372,-0.000412372,0,0,0.000353553,0.000229552,0,1,-0.000353553,-0.000291552,0,2,0.000612372,0.000442372,2,1,5,5,5,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,3.75423e-08,3.75424e-08,3.75433e-08,1.66832e-08,3.75419e-08,5,5,8.34161e-09,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,4.99999,3.92521e-09,3.83663e-09,5.45635e-09,5,5,1.06962e-07,3.83663e-09,3.92521e-09,5,5,0,0,3,0,1,1,0,1,2,1
20,0.00746646,0.939693,4.18854e-17,-0.34202,3.78579,-0.000640856,-0.000440856,0,0,0.000298836,0.000174836,0,1,-0.000298836,-0.000236836,0,2,0.000640856,0.000470856,2,1,5,5,5,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,3.75437e-08,3.75433e-08,3.75441e-08,1.66832e-08,3.75445e-08,5,5,8.3416e-09,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,4.01503e-09,3.83668e-09,4.18826e-09,5,5,1.15553e-08,3.83668e-09,4.01503e-09,5,5,0,0,3,0,1,1,0,1,2,1
25,0.00922596,0.906308,5.17558e-17,-0.422618,4.6167,-0.000664463,-0.000464464,0,0,0.000241845,0.000117844,0,1,-0.000241845,-0.000179844,0,2,0.000664463,0.000494464,2,1,5,5,5,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,3.75436e-08,3.75447e-08,3.75443e-08,1.66832e-08,3.75437e-08,5,5,8.34161e-09,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,4.52319e-09,3.8367e-09,3.99462e-09,5,5,5.10048e-09,3.8367e-09,4.52319e-09,5,5,0,0,3,0,1,1,0,1,2,1
30,0.0109152,0.866025,6.12323e-17,-0.5,6.00841,-0.000683013,-0.000483012,0,0,0.000183013,5.9012e-05,0,1,-0.000183013,-0.000121012,0,2,0.000683013,0.000513012,2,1,5,5,5,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,3.75444e-08,3.75444e-08,3.75434e-08,1.66832e-08,3.75434e-08,5,5,8.34161e-09,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,1.36345e-08,3.8367e-09,3.93382e-09,5,5,4.21341e-09,3.8367e-09,1.36345e-08,5,5,0,0,3,0,1,1,0,1,2,1
35,0.0125214,0.819152,7.02429e-17,-0.573576,7.58815,-0.000696364,-0.000496364,0,0,0.000122788,-1.212e-06,0,1,-0.000122788,-6.0788e-05,0,2,0.000696364,0.000526364,2,1,5,5,5,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,3.75429e-08,3.75449e-08,3.75443e-08,1.66832e-08,3.7543e-08,5,5,8.34161e-09,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,1.30302e-06,3.83671e-09,3.90144e-09,5,5,4.01755e-09,3.83671e-09,1.30302e-06,5,5,0,0,3,0,1,1,0,1,2,1
40,0.0140324,0.766044,7.87188e-17,-0.642788,9.17665,-0.000704416,-0.000504416,0,0,6.16284e-05,-6.2372e-05,0,1,-6.16284e-05,3.72e-07,0,2,0.000704416,0.000534416,2,1,5,5,5,1.66832e-08,5,1.66832e-08,5,5,5,5,1.21974,1.81384,8.10796e-09,0.00123953,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,8.34163e-09,8.34161e-09,3.75432e-08,1.66832e-08,3.75447e-08,5,3.75394e-08,8.34161e-09,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,4.99995,3.83671e-09,3.87911e-09,5,5,3.94976e-09,3.83671e-09,4.99995,5,5,0,0,3,0,1,1,0,1,2,1
45,0.0154365,0.707107,8.65956e-17,-0.707107,10.6863,-0.000707107,-0.000507108,0,0,0,-0.000124,0,1,-1.13687e-19,6.2e-05,0,2,0.000707107,0.000537108,2,1,5,5,5,1.66832e-08,5,1.66832e-08,5,5,5,5,1.21974,1.81384,8.10796e-09,0.00123953,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,8.34161e-09,8.3416e-09,3.75449e-08,1.66832e-08,3.75439e-08,5,3.75434e-08,8.3416e-09,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,3.83671e-09,3.86217e-09,5,5,3.91467e-09,3.83671e-09,5,5,5,0,0,3,0,1,1,0,1,2,1
