ang,peso,gx,gy,gz,desv_grad,b1_ideal,b1_medido,voto_ideal1_v,voto_ideal1_t,b2_ideal,b2_medido,voto_ideal2_v,voto_ideal2_t,b3_ideal,b3_medido,voto_ideal3_v,voto_ideal3_t,b4_ideal,b4_medido,voto_ideal4_v,voto_ideal4_t,cX1,tX1,cX2,tX2,cX3,tX3,cX4,tX4,XPv,XPt,Xv,Xt,XNv,XNt,cY1,tY1,cY2,tY2,cY3,tY3,cY4,tY4,YPv,YPt,Yv,Yt,YNv,YNt,cZ1,tZ1,cZ2,tZ2,cZ3,tZ3,cZ4,tZ4,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,empate_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,empate_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,0,8.10804,-0.0005,-0.0003,0,0,0.0005,0.000376,0,1,-0.0005,-0.000438,0,0,0.0005,0.00033,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34162e-09,8.34163e-09,5,3.75402e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,5.98591e-08,3.83804e-09,3.88058e-09,4.99997,5,5,4.99999,3.88058e-09,3.83804e-09,1.78049e-06,5,0,0,3,0,1,0,1,2,2,0
5,0.00190265,0.996195,0.0435779,0.0754791,9.81693,-0.000438569,-0.000238568,2,2,0.000514048,0.000390048,0,1,-0.000557626,-0.000495624,2,0,0.000482147,0.000312148,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34162e-09,8.34162e-09,5,3.7544e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,6.08973e-09,3.83664e-09,3.90719e-09,4.99999,5,5,5,3.90719e-09,3.83664e-09,2.1162e-07,5,2,0,1,0,3,1,0,1,2,1
10,0.00379082,0.984808,0.0868241,0.150384,11.3621,-0.0003738,-0.0001738,2,2,0.000524184,0.000400184,0,1,-0.000611008,-0.000549008,2,0,0.000460624,0.000290624,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34161e-09,8.34161e-09,5,3.7541e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.16934e-09,3.83669e-09,3.95004e-09,5,5,5,5,3.95004e-09,3.83669e-09,4.90035e-08,5,2,0,1,0,3,1,0,1,2,1
15,0.00565014,0.965926,0.12941,0.224144,12.729,-0.000306186,-0.000106188,2,2,0.00053033,0.000406332,0,1,-0.00065974,-0.00059774,2,0,0.000435596,0.000265596,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.3416e-09,8.3416e-09,5,3.75439e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.96438e-09,3.8367e-09,4.05548e-09,5,5,5,5,4.05548e-09,3.8367e-09,1.74549e-08,5,2,0,1,0,3,1,0,1,2,1
20,0.00746646,0.939693,0.17101,0.296198,13.9102,-0.000236242,-3.6244e-05,2,2,0.00053244,0.00040844,0,1,-0.00070345,-0.000641452,2,0,0.000407252,0.000237252,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34161e-09,8.34161e-09,5,3.7543e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.9048e-09,3.8367e-09,4.6152e-09,5,5,5,5,4.6152e-09,3.8367e-09,8.9768e-09,5,2,0,1,0,3,1,0,1,2,1
25,0.00922596,0.906308,0.211309,0.365998,14.9032,-0.0001645,3.55e-05,2,2,0.000530498,0.0004065,0,1,-0.000741808,-0.000679808,2,0,0.000375809,0.000205808,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34161e-09,8.34161e-09,5,3.75436e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.87023e-09,3.8367e-09,1.24443e-08,5,5,5,5,1.24443e-08,3.8367e-09,6.16242e-09,5,2,0,1,0,3,1,0,1,2,1
30,0.0109152,0.866025,0.25,0.433013,15.7102,-9.15064e-05,0.000108492,2,2,0.000524519,0.00040052,0,1,-0.000774519,-0.00071252,2,0,0.000341506,0.000171508,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.3416e-09,8.3416e-09,5,3.7543e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.84524e-09,3.83671e-09,7.48747e-07,5,5,5,5,7.48748e-07,3.83671e-09,5.06724e-09,5,2,0,1,0,3,1,0,1,2,1
35,0.0125214,0.819152,0.286788,0.496732,16.3373,-1.7816e-05,0.000182184,2,2,0.000514548,0.000390548,0,1,-0.000801336,-0.000739336,2,0,0.000304604,0.000134604,2,1,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,5,2.5794,1.81384,5,0.00123953,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,8.34161e-09,8.34161e-09,5,8.34163e-09,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83663e-09,3.83671e-09,4.99994,5,5,5,5,4.99994,3.83671e-09,4.5827e-09,5,2,0,1,0,3,1,0,1,2,1
40,0.0140324,0.766044,0.321394,0.55667,16.7922,5.60099e-05,0.000256008,2,2,0.000500661,0.00037666,0,1,-0.000822054,-0.000760056,2,0,0.000265384,9.5384e-05,2,1,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,5,2.5794,1.81384,5,0.00123953,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,8.3416e-09,8.3416e-09,5,8.3416e-09,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83669e-09,3.8367e-09,5,5,5,5,5,5,3.8367e-09,4.34424e-09,5,2,0,1,0,3,1,0,1,2,1
45,0.0154365,0.707107,0.353553,0.612372,17.0848,0.00012941,0.000329408,2,2,0.000482963,0.000358964,0,1,-0.000836516,-0.000774516,2,0,0.000224144,5.4144e-05,2,1,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,5,2.5794,1.81384,5,0.00123953,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,8.34167e-09,8.34165e-09,5,8.3416e-09,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,4.99988,3.8367e-09,3.8367e-09,5,5,4.99988,5,5,5,3.8367e-09,4.21584e-09,5,2,0,1,0,3,1,0,1,2,1
50,0.0167231,0.642788,0.383022,0.663414,17.2258,0.000201824,0.000401824,2,2,0.00046159,0.000337588,1,0,-0.000844612,-0.000782612,2,0,0.000181198,1.1196e-05,2,1,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,5,2.5794,1.81384,5,0.00123953,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,1.66832e-08,3.75396e-08,5,8.34161e-09,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,4.62196e-07,3.83671e-09,3.8367e-09,5,5,4.62196e-07,5,5,5,3.8367e-09,4.1414e-09,5,2,0,0,1,3,0,0,2,1,1
55,0.0178825,0.573576,0.409576,0.709406,17.2258,0.000272703,0.000472704,2,2,0.000436703,0.000312704,1,0,-0.000846279,-0.00078428,2,0,0.000136873,-3.3128e-05,2,1,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,5,2.5794,1.81384,5,0.00123953,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,1.66832e-08,3.75431e-08,5,8.34161e-09,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,1.0296e-08,3.83671e-09,3.8367e-09,5,5,1.0296e-08,5,5,5,3.8367e-09,4.09576e-09,5,2,0,0,1,3,0,0,2,1,1
