ang,peso,gx,gy,gz,desv_grad,b1_ideal,b1_medido,voto_ideal1_v,voto_ideal1_t,b2_ideal,b2_medido,voto_ideal2_v,voto_ideal2_t,b3_ideal,b3_medido,voto_ideal3_v,voto_ideal3_t,b4_ideal,b4_medido,voto_ideal4_v,voto_ideal4_t,cX1,tX1,cX2,tX2,cX3,tX3,cX4,tX4,XPv,XPt,Xv,Xt,XNv,XNt,cY1,tY1,cY2,tY2,cY3,tY3,cY4,tY4,YPv,YPt,Yv,Yt,YNv,YNt,cZ1,tZ1,cZ2,tZ2,cZ3,tZ3,cZ4,tZ4,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,empate_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,empate_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,0,3.0272,-0.0011115,-0.0009115,0,0,0.0011115,0.0009875,0,1,-0.0011115,-0.0010495,0,0,0.0011115,0.0009415,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34161e-09,8.34161e-09,5,3.75409e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.03377e-07,3.83674e-09,3.83674e-09,4.99999,5,5,4.99999,3.83674e-09,3.83674e-09,1.77863e-06,5,0,0,3,0,1,0,1,2,2,0
5,0.00190265,0.996195,0.0225576,0.084186,3.69702,-0.000988625,-0.000788624,2,2,0.00117577,0.00105177,0,1,-0.00122592,-0.00116392,2,0,0.00103877,0.000868772,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34161e-09,8.34161e-09,5,3.75448e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.47419e-09,3.83674e-09,3.83673e-09,5,5,5,5,3.83673e-09,3.83674e-09,4.61793e-09,5,2,0,1,0,3,1,0,1,2,1
10,0.00379082,0.984808,0.0449435,0.167731,4.331,-0.000858226,-0.000658224,2,2,0.00123109,0.00110709,0,1,-0.001331,-0.001269,2,0,0.000958135,0.000788136,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.3416e-09,8.3416e-09,5,3.75447e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.95643e-09,3.83675e-09,3.83673e-09,5,5,5,5,3.83673e-09,3.83675e-09,4.01377e-09,5,2,0,1,0,3,1,0,1,2,1
15,0.00565014,0.965926,0.0669873,0.25,4.9214,-0.000721295,-0.000521296,2,2,0.00127705,0.00115304,0,1,-0.00142596,-0.00136396,2,0,0.000870208,0.000700208,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34161e-09,8.34161e-09,5,3.75435e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.88556e-09,3.83675e-09,3.83672e-09,5,5,5,5,3.83672e-09,3.83675e-09,3.9012e-09,5,2,0,1,0,3,1,0,1,2,1
20,0.00746646,0.939693,0.0885213,0.330366,5.46236,-0.000578875,-0.000378876,2,2,0.00131328,0.00118928,0,1,-0.00151006,-0.00144806,2,0,0.000775658,0.000605656,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34161e-09,8.34161e-09,5,3.75441e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.84619e-09,3.83675e-09,3.83671e-09,5,5,5,5,3.83671e-09,3.83675e-09,3.85714e-09,5,2,0,1,0,3,1,0,1,2,1
25,0.00922596,0.906308,0.109382,0.408218,5.94913,-0.000432049,-0.000232048,2,2,0.00133952,0.00121552,0,1,-0.00158267,-0.00152067,2,0,0.000675205,0.000505204,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.3416e-09,8.3416e-09,5,3.75437e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83666e-09,3.83675e-09,3.84673e-09,5,5,5,5,3.84673e-09,3.83675e-09,3.83745e-09,5,2,0,1,0,3,1,0,1,2,1
30,0.0109152,0.866025,0.12941,0.482963,6.37806,-0.000281935,-8.1936e-05,2,2,0.00135556,0.00123156,0,1,-0.00164324,-0.00158124,2,0,0.000569613,0.000399612,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34162e-09,8.34162e-09,5,3.75447e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83669e-09,3.83675e-09,3.25233e-09,5,5,5,5,3.25232e-09,3.83675e-09,3.83698e-09,5,2,0,1,0,3,1,0,1,2,1
35,0.0125214,0.819152,0.148453,0.554032,6.74673,-0.000129676,7.0324e-05,2,2,0.00136129,0.00123729,0,1,-0.0016913,-0.0016293,2,0,0.000459686,0.000289684,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34161e-09,8.34161e-09,5,3.7543e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.8367e-09,3.83675e-09,5.80492e-09,5,5,5,5,5.80492e-09,3.83675e-09,3.83681e-09,5,2,0,1,0,3,1,0,1,2,1
40,0.0140324,0.766044,0.166366,0.620885,7.05346,2.35709e-05,0.000223572,2,2,0.00135666,0.00123266,0,1,-0.00172649,-0.00166449,2,0,0.00034626,0.00017626,2,1,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,5,2.5794,1.81384,5,0.00123953,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,8.34161e-09,8.34161e-09,5,8.34163e-09,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83671e-09,3.83675e-09,4.99995,5,5,5,5,4.99995,3.83675e-09,3.83676e-09,5,2,0,1,0,3,1,0,1,2,1
45,0.0154365,0.707107,0.183013,0.683013,7.29747,0.000176638,0.00037664,2,2,0.0013417,0.0012177,0,1,-0.00174854,-0.00168654,2,0,0.000230199,6.02e-05,2,1,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,5,2.5794,1.81384,5,0.00123953,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,8.34161e-09,8.34161e-09,5,8.3416e-09,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83672e-09,3.83675e-09,5,5,5,5,5,5,3.83675e-09,3.83675e-09,5,2,0,1,0,3,1,0,1,2,1
