ang,peso,gx,gy,gz,desv_grad,b1_ideal,b1_medido,voto_ideal1_v,voto_ideal1_t,b2_ideal,b2_medido,voto_ideal2_v,voto_ideal2_t,b3_ideal,b3_medido,voto_ideal3_v,voto_ideal3_t,b4_ideal,b4_medido,voto_ideal4_v,voto_ideal4_t,cX1,tX1,cX2,tX2,cX3,tX3,cX4,tX4,XPv,XPt,Xv,Xt,XNv,XNt,cY1,tY1,cY2,tY2,cY3,tY3,cY4,tY4,YPv,YPt,Yv,Yt,YNv,YNt,cZ1,tZ1,cZ2,tZ2,cZ3,tZ3,cZ4,tZ4,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,empate_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,empate_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,0,0.643919,-0.004715,-0.004515,0,0,0.004715,0.004591,0,1,-0.004715,-0.004653,0,0,0.004715,0.004545,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.3421e-09,8.3421e-09,5,2.12231e-05,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,0.0754521,3.83686e-09,3.83685e-09,5,5,5,4.28351,3.83685e-09,3.83686e-09,4.611e-06,5,0,0,3,0,1,0,1,2,2,0
5,0.00190265,0.996195,0.0754791,0.0435779,0.772469,-0.0041357,-0.0039357,2,2,0.00454664,0.00442264,0,1,-0.00525841,-0.00519641,2,0,0.00484747,0.00467747,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75433e-08,1.66832e-08,5,3.75739e-08,5,8.3416e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,0.00404369,3.83685e-09,3.83686e-09,4.51133e-09,5,5,4.99245,3.83686e-09,3.83685e-09,5,5,2,0,1,0,3,1,0,1,2,1
10,0.00379082,0.984808,0.150384,0.0868241,0.902027,-0.00352493,-0.00332493,2,2,0.00434368,0.00421968,0,1,-0.0057618,-0.0056998,2,0,0.00494305,0.00477305,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75414e-08,1.66832e-08,5,3.75495e-08,5,8.34162e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,0.000113823,3.83685e-09,3.83686e-09,3.86576e-09,5,5,4.99865,3.83686e-09,3.83685e-09,5,5,2,0,1,0,3,1,0,1,2,1
15,0.00565014,0.965926,0.224144,0.12941,1.02873,-0.00288734,-0.00268734,2,2,0.00410767,0.00398367,0,1,-0.00622134,-0.00615934,2,0,0.00500101,0.00483101,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.7543e-08,1.66832e-08,5,3.75441e-08,5,8.3416e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,6.85656e-06,3.83684e-09,3.83686e-09,3.83831e-09,5,5,4.99975,3.83686e-09,3.83684e-09,5,5,2,0,1,0,3,1,0,1,2,1
20,0.00746646,0.939693,0.296198,0.17101,1.15007,-0.00222776,-0.00202776,2,2,0.00384039,0.00371639,0,1,-0.00663354,-0.00657154,2,0,0.00502091,0.00485091,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75434e-08,1.66832e-08,5,3.75434e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,2.74624e-07,3.83683e-09,3.83686e-09,3.83691e-09,5,5,4.99998,3.83686e-09,3.83683e-09,5,5,2,0,1,0,3,1,0,1,2,1
25,0.00922596,0.906308,0.365998,0.211309,1.26419,-0.00155124,-0.00135124,2,2,0.00354388,0.00341988,0,1,-0.00699525,-0.00693324,2,0,0.0050026,0.0048326,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75447e-08,1.66832e-08,5,3.75433e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,7.92763e-09,3.83682e-09,3.83686e-09,3.83685e-09,5,5,5,3.83686e-09,3.83682e-09,5,5,2,0,1,0,3,1,0,1,2,1
30,0.0109152,0.866025,0.433013,0.25,1.36966,-0.000862905,-0.000662904,2,2,0.0032204,0.0030964,0,1,-0.00730371,-0.00724172,2,0,0.00494621,0.00477622,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75407e-08,1.66832e-08,5,3.75403e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.86209e-09,3.83681e-09,3.83686e-09,3.83685e-09,5,5,5,3.83686e-09,3.83681e-09,5,5,2,0,1,0,3,1,0,1,2,1
35,0.0125214,0.819152,0.496732,0.286788,1.46532,-0.000168005,3.1996e-05,2,2,0.00287242,0.00274842,0,1,-0.0075566,-0.0074946,2,0,0.00485219,0.00468218,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75399e-08,1.66832e-08,5,3.75405e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.8367e-09,3.8368e-09,3.83686e-09,3.83685e-09,5,5,5,3.83686e-09,3.8368e-09,5,5,2,0,1,0,3,1,0,1,2,1
40,0.0140324,0.766044,0.55667,0.321394,1.55021,0.000528173,0.000728172,2,2,0.00250257,0.00237857,0,1,-0.00775197,-0.00768997,2,0,0.00472123,0.00455123,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75431e-08,1.66832e-08,5,3.75429e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83673e-09,3.83679e-09,3.83685e-09,3.83685e-09,5,5,5,3.83685e-09,3.83679e-09,5,5,2,0,1,0,3,1,0,1,2,1
45,0.0154365,0.707107,0.612372,0.353553,1.62361,0.00122033,0.00142033,2,2,0.00211368,0.00198968,0,1,-0.00788835,-0.00782635,2,0,0.00455434,0.00438434,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75435e-08,1.66832e-08,5,3.75432e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83676e-09,3.83678e-09,3.83685e-09,3.83684e-09,5,5,5,3.83685e-09,3.83678e-09,5,5,2,0,1,0,3,1,0,1,2,1
