ang,peso,gx,gy,gz,desv_grad,b1_ideal,b1_medido,voto_ideal1_v,voto_ideal1_t,b2_ideal,b2_medido,voto_ideal2_v,voto_ideal2_t,b3_ideal,b3_medido,voto_ideal3_v,voto_ideal3_t,b4_ideal,b4_medido,voto_ideal4_v,voto_ideal4_t,cX1,tX1,cX2,tX2,cX3,tX3,cX4,tX4,XPv,XPt,Xv,Xt,XNv,XNt,cY1,tY1,cY2,tY2,cY3,tY3,cY4,tY4,YPv,YPt,Yv,Yt,YNv,YNt,cZ1,tZ1,cZ2,tZ2,cZ3,tZ3,cZ4,tZ4,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,empate_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,empate_t,votos_X_t,votos_Y_t,votos_Z_t
50,0.0167231,0.642788,0.766044,4.69067e-17,1.59997,0.000581156,0.000781156,2,2,-0.000581156,-0.000705156,2,2,-0.00664264,-0.00658064,2,0,0.00664264,0.00647264,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,5,5,3.75445e-08,5,8.34161e-09,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83673e-09,3.83674e-09,3.87252e-09,3.83688e-09,3.83688e-09,3.83673e-09,5,5,3.83688e-09,3.87252e-09,5,5,2,0,0,0,4,2,0,1,1,2
55,0.0178825,0.573576,0.819152,5.01586e-17,1.66302,0.00115789,0.00135789,2,2,-0.00115789,-0.00128189,2,2,-0.00656671,-0.00650472,2,0,0.00656671,0.00639672,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,5,5,3.75438e-08,5,8.34161e-09,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83676e-09,3.83676e-09,6.42198e-09,3.83688e-09,3.83688e-09,3.83676e-09,5,5,3.83688e-09,6.42198e-09,5,5,2,0,0,0,4,2,0,1,1,2
60,0.0189057,0.5,0.866025,5.30288e-17,1.71476,0.00172581,0.00192581,2,2,-0.00172581,-0.00184981,2,2,-0.00644081,-0.00637881,2,0,0.00644081,0.00627081,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,5,5,3.75446e-08,5,8.34161e-09,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83678e-09,3.83678e-09,9.9156e-08,3.83687e-09,3.83688e-09,3.83678e-09,5,5,3.83687e-09,9.9156e-08,5,5,2,0,0,0,4,2,0,1,1,2
65,0.0197851,0.422618,0.906308,5.54953e-17,1.75469,0.0022806,0.0024806,2,2,-0.0022806,-0.0024046,2,2,-0.00626589,-0.00620389,2,0,0.00626589,0.00609589,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,5,5,3.7543e-08,5,8.3416e-09,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83679e-09,3.83679e-09,2.05171e-06,3.83687e-09,3.83688e-09,3.83679e-09,5,5,3.83687e-09,2.05171e-06,5,5,2,0,0,0,4,2,0,1,1,2
70,0.0205139,0.34202,0.939693,5.75396e-17,1.78245,0.00281803,0.00301802,2,2,-0.00281803,-0.00294202,2,2,-0.00604328,-0.00598128,2,0,0.00604328,0.00587328,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,5,5,3.75449e-08,5,8.34162e-09,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83681e-09,3.83681e-09,1.96846e-05,3.83687e-09,3.83688e-09,3.83681e-09,5,5,3.83687e-09,1.96846e-05,5,5,2,0,0,0,4,2,0,1,1,2
75,0.0210866,0.258819,0.965926,5.91459e-17,1.79789,0.00333401,0.00353401,2,2,-0.00333401,-0.00345801,2,2,-0.00577467,-0.00571267,2,0,0.00577467,0.00560467,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,5,5,3.75437e-08,5,8.3416e-09,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83683e-09,3.83683e-09,0.000206231,3.83687e-09,3.83687e-09,3.83683e-09,5,5,3.83687e-09,0.000206231,5,5,2,0,0,0,4,2,0,1,1,2
80,0.0214988,0.173648,0.984808,6.03021e-17,1.80088,0.00382462,0.00402462,2,2,-0.00382462,-0.00394862,2,2,-0.00546212,-0.00540012,2,0,0.00546212,0.00529212,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,5,5,3.75436e-08,5,8.3416e-09,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83684e-09,3.83684e-09,0.00301829,3.83687e-09,3.83687e-09,3.83684e-09,5,5,3.83687e-09,0.00301829,5,5,2,0,0,0,4,2,0,1,1,2
85,0.0217474,0.0871557,0.996195,6.09993e-17,1.79155,0.00428612,0.00448612,2,2,-0.00428612,-0.00441012,2,2,-0.005108,-0.005046,2,0,0.005108,0.004938,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,5,5,3.75436e-08,5,8.34161e-09,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83685e-09,3.83685e-09,0.0238427,-1.47039e-07,3.83686e-09,3.83685e-09,5,5,-1.47041e-07,0.0238427,5,5,2,0,0,0,4,2,0,1,1,2
90,0.0218305,6.12323e-17,1,6.12323e-17,1.76999,0.004715,0.004915,2,2,-0.004715,-0.004839,2,2,-0.004715,-0.004653,2,0,0.004715,0.004545,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,5,5,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,2.51354e-08,2.51354e-08,5,5,5,8.34209e-09,4.66769e-08,8.34209e-09,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.83686e-09,3.83686e-09,4.61287,5,3.83685e-09,3.83686e-09,5,5,5,4.61287,5,5,2,0,0,0,4,2,0,1,1,2
95,0.0217474,-0.0871557,0.996195,6.09993e-17,1.73654,0.005108,0.005308,1,1,-0.005108,-0.005232,2,2,-0.00428612,-0.00422412,2,0,0.00428612,0.00411612,0,0,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,5,5,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,5,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.67082e-08,1.67082e-08,5,5,5,8.34161e-09,3.76053e-08,8.34161e-09,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.83687e-09,3.83687e-09,4.98467,5,3.83684e-09,3.83687e-09,5,5,5,4.98467,5,5,2,0,1,1,2,0,0,2,1,1
