ang,peso,gx,gy,gz,desv_grad,b1_ideal,b1_medido,voto_ideal1_v,voto_ideal1_t,b2_ideal,b2_medido,voto_ideal2_v,voto_ideal2_t,b3_ideal,b3_medido,voto_ideal3_v,voto_ideal3_t,b4_ideal,b4_medido,voto_ideal4_v,voto_ideal4_t,cX1,tX1,cX2,tX2,cX3,tX3,cX4,tX4,XPv,XPt,Xv,Xt,XNv,XNt,cY1,tY1,cY2,tY2,cY3,tY3,cY4,tY4,YPv,YPt,Yv,Yt,YNv,YNt,cZ1,tZ1,cZ2,tZ2,cZ3,tZ3,cZ4,tZ4,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,empate_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,empate_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,0,8.10804,-0.0005,-0.0003,0,0,0.0005,0.000376,0,1,-0.0005,-0.000438,0,0,0.0005,0.00033,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34162e-09,8.34163e-09,5,3.75402e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,5.98591e-08,3.83804e-09,3.88058e-09,4.99997,5,5,4.99999,3.88058e-09,3.83804e-09,1.78049e-06,5,0,0,3,0,1,0,1,2,2,0
5,0.00190265,0.996195,0.0754791,0.0435779,9.59608,-0.000438569,-0.000238568,2,2,0.000482147,0.000358148,0,1,-0.000557626,-0.000495624,2,0,0.000514048,0.000344048,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34194e-09,8.34208e-09,5,3.75432e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,6.09127e-09,3.83661e-09,3.89414e-09,4.999,5,5,5,3.89414e-09,3.83661e-09,0.000208811,5,2,0,1,0,3,1,0,1,2,1
10,0.00379082,0.984808,0.150384,0.0868241,11.0248,-0.0003738,-0.0001738,2,2,0.000460624,0.000336624,0,1,-0.000611008,-0.000549008,2,0,0.000524184,0.000354184,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75422e-08,1.66832e-08,5,3.75442e-08,5,8.34187e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.1696e-09,3.83663e-09,3.91305e-09,8.02867e-05,5,5,5,3.91305e-09,3.83663e-09,4.99944,5,2,0,1,0,3,1,0,1,2,1
15,0.00565014,0.965926,0.224144,0.12941,12.3418,-0.000306186,-0.000106188,2,2,0.000435596,0.000311596,0,1,-0.00065974,-0.00059774,2,0,0.00053033,0.000360332,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75432e-08,1.66832e-08,5,3.75436e-08,5,8.34162e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.96438e-09,3.83665e-09,3.94152e-09,1.44957e-06,5,5,5,3.94152e-09,3.83665e-09,4.99997,5,2,0,1,0,3,1,0,1,2,1
20,0.00746646,0.939693,0.296198,0.17101,13.5172,-0.000236242,-3.6244e-05,2,2,0.000407252,0.000283252,0,1,-0.00070345,-0.000641452,2,0,0.00053244,0.00036244,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75432e-08,1.66832e-08,5,3.75429e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.9048e-09,3.83665e-09,3.99371e-09,2.05374e-07,5,5,5,3.99371e-09,3.83665e-09,4.99999,5,2,0,1,0,3,1,0,1,2,1
25,0.00922596,0.906308,0.365998,0.211309,14.5343,-0.0001645,3.55e-05,2,2,0.000375809,0.000251808,0,1,-0.000741808,-0.000679808,2,0,0.000530498,0.0003605,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75444e-08,1.66832e-08,5,3.75442e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.87023e-09,3.83665e-09,4.13411e-09,5.38642e-08,5,5,5,4.13411e-09,3.83665e-09,5,5,2,0,1,0,3,1,0,1,2,1
30,0.0109152,0.866025,0.433013,0.25,15.3855,-9.15064e-05,0.000108492,2,2,0.000341506,0.000217508,0,1,-0.000774519,-0.00071252,2,0,0.000524519,0.00035452,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75431e-08,1.66832e-08,5,3.75438e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.84524e-09,3.83664e-09,4.80195e-09,2.09385e-08,5,5,5,4.80195e-09,3.83664e-09,5,5,2,0,1,0,3,1,0,1,2,1
35,0.0125214,0.819152,0.496732,0.286788,16.0702,-1.7816e-05,0.000182184,2,2,0.000304604,0.000180604,0,1,-0.000801336,-0.000739336,2,0,0.000514548,0.000344548,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,5,5,3.75446e-08,5,8.3416e-09,5,5,1.21974,1.81384,8.10796e-09,0.00123953,0.0469509,3.83663e-09,3.83663e-09,1.1483e-08,1.11263e-08,0.0469506,5,5,1.1483e-08,3.83663e-09,5,5,2,0,1,0,3,1,0,1,2,1
40,0.0140324,0.766044,0.55667,0.321394,16.5911,5.60099e-05,0.000256008,2,2,0.000265384,0.000141384,0,1,-0.000822054,-0.000760056,2,0,0.000500661,0.00033066,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,5,5,3.7543e-08,5,8.34161e-09,5,5,1.21974,1.81384,8.10796e-09,0.00123953,5.28122e-08,3.83669e-09,3.83661e-09,2.75318e-07,7.52688e-09,5.28122e-08,5,5,2.75319e-07,3.83661e-09,5,5,2,0,1,0,3,1,0,1,2,1
45,0.0154365,0.707107,0.612372,0.353553,16.9545,0.00012941,0.000329408,2,2,0.000224144,0.000100144,0,1,-0.000836516,-0.000774516,2,0,0.000482963,0.000312964,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,5,5,8.34185e-09,5,8.3416e-09,5,5,1.21974,1.81384,8.10796e-09,0.00123953,5.27297e-09,3.8367e-09,3.83735e-09,4.99928,5.99056e-09,5.27297e-09,5,5,4.99928,3.83735e-09,5,5,2,0,1,0,3,1,0,1,2,1
