ang,peso,gx,gy,gz,desv_grad,b1_ideal,b1_medido,voto_ideal1_v,voto_ideal1_t,b2_ideal,b2_medido,voto_ideal2_v,voto_ideal2_t,b3_ideal,b3_medido,voto_ideal3_v,voto_ideal3_t,b4_ideal,b4_medido,voto_ideal4_v,voto_ideal4_t,cX1,tX1,cX2,tX2,cX3,tX3,cX4,tX4,XPv,XPt,Xv,Xt,XNv,XNt,cY1,tY1,cY2,tY2,cY3,tY3,cY4,tY4,YPv,YPt,Yv,Yt,YNv,YNt,cZ1,tZ1,cZ2,tZ2,cZ3,tZ3,cZ4,tZ4,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,empate_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,empate_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,3.0272,-0.0011115,-0.0009115,0,0,0.0011115,0.0009875,0,1,-0.0011115,-0.0010495,0,0,0.0011115,0.0009415,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34161e-09,8.34161e-09,5,3.75409e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.03377e-07,3.83674e-09,3.83674e-09,4.99999,5,5,4.99999,3.83674e-09,3.83674e-09,1.77863e-06,5,0,0,3,0,1,0,1,2,2,0
5,0.00190265,0.996195,0.0754791,-0.0435779,3.0674,-0.00107181,-0.000871812,2,2,0.000974939,0.00085094,0,1,-0.00114273,-0.00108073,2,0,0.0012396,0.0010696,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75435e-08,1.66832e-08,5,3.75445e-08,5,8.3416e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.71083e-08,3.83674e-09,3.83674e-09,4.73978e-09,5,5,5,3.83674e-09,3.83674e-09,5,5,2,0,1,0,3,1,0,1,2,1
10,0.00379082,0.984808,0.150384,-0.0868241,3.2613,-0.00102397,-0.000823968,2,2,0.000830957,0.000706956,0,1,-0.00116526,-0.00110326,2,0,0.00135827,0.00118827,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75427e-08,1.66832e-08,5,3.75433e-08,5,8.3416e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,6.61484e-09,3.83673e-09,3.83675e-09,3.88895e-09,5,5,5,3.83675e-09,3.83673e-09,5,5,2,0,1,0,3,1,0,1,2,1
15,0.00565014,0.965926,0.224144,-0.12941,3.57642,-0.000968329,-0.000768328,2,2,0.000680652,0.000556652,0,1,-0.00117892,-0.00111692,2,0,0.0014666,0.0012966,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75439e-08,1.66832e-08,5,3.75441e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.65556e-09,3.83672e-09,3.83675e-09,3.83745e-09,5,5,5,3.83675e-09,3.83672e-09,5,5,2,0,1,0,3,1,0,1,2,1
20,0.00746646,0.939693,0.296198,-0.17101,3.97201,-0.000905322,-0.00070532,2,2,0.000525166,0.000401168,0,1,-0.00118361,-0.00112162,2,0,0.00156377,0.00139377,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75432e-08,1.66832e-08,5,3.75436e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.17298e-09,3.83671e-09,3.83676e-09,3.83681e-09,5,5,5,3.83676e-09,3.83671e-09,5,5,2,0,1,0,3,1,0,1,2,1
25,0.00922596,0.906308,0.365998,-0.211309,4.41173,-0.000835424,-0.000635424,2,2,0.000365684,0.000241684,0,1,-0.0011793,-0.0011173,2,0,0.00164904,0.00147904,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75444e-08,1.66832e-08,5,3.75438e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.02048e-09,3.83671e-09,3.83676e-09,3.83676e-09,5,5,5,3.83676e-09,3.83671e-09,5,5,2,0,1,0,3,1,0,1,2,1
30,0.0109152,0.866025,0.433013,-0.25,4.86755,-0.000759169,-0.000559168,2,2,0.000203419,7.942e-05,0,1,-0.00116601,-0.001104,2,0,0.00172176,0.00155176,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75432e-08,1.66832e-08,5,3.75428e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.95697e-09,3.83669e-09,3.83676e-09,3.83676e-09,5,5,5,3.83676e-09,3.83669e-09,5,5,2,0,1,0,3,1,0,1,2,1
35,0.0125214,0.819152,0.496732,-0.286788,5.31879,-0.000677135,-0.000477136,2,2,3.9605e-05,-8.4396e-05,0,1,-0.00114384,-0.00108184,2,0,0.00178137,0.00161137,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75449e-08,1.66832e-08,5,3.75441e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.92202e-09,3.83664e-09,3.83676e-09,3.83676e-09,5,5,5,3.83676e-09,3.83664e-09,5,5,2,0,1,0,3,1,0,1,2,1
40,0.0140324,0.766044,0.55667,-0.321394,5.75028,-0.000589948,-0.000389948,2,2,-0.00012451,-0.000248508,0,1,-0.00111297,-0.00105097,2,0,0.00182743,0.00165743,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75448e-08,1.66832e-08,5,3.75444e-08,5,8.3416e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,4.99999,3.89837e-09,3.85906e-09,3.83676e-09,3.83676e-09,4.99999,5,5,3.83676e-09,3.85906e-09,5,5,2,0,1,0,3,1,0,1,2,1
45,0.0154365,0.707107,0.612372,-0.353553,6.15109,-0.000498272,-0.000298272,2,2,-0.000287677,-0.000411676,0,1,-0.00107363,-0.00101163,2,0,0.00185958,0.00168958,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,5,5,3.75433e-08,5,8.34162e-09,5,5,1.21974,1.81384,8.10796e-09,0.00123953,1.41396e-07,3.8804e-09,3.91961e-09,3.83676e-09,3.83677e-09,1.41396e-07,5,5,3.83676e-09,3.91961e-09,5,5,2,0,1,0,3,1,0,1,2,1
