ang,peso,gx,gy,gz,desv_grad,b1_ideal,b1_medido,voto_ideal1_v,voto_ideal1_t,b2_ideal,b2_medido,voto_ideal2_v,voto_ideal2_t,b3_ideal,b3_medido,voto_ideal3_v,voto_ideal3_t,b4_ideal,b4_medido,voto_ideal4_v,voto_ideal4_t,cX1,tX1,cX2,tX2,cX3,tX3,cX4,tX4,XPv,XPt,Xv,Xt,XNv,XNt,cY1,tY1,cY2,tY2,cY3,tY3,cY4,tY4,YPv,YPt,Yv,Yt,YNv,YNt,cZ1,tZ1,cZ2,tZ2,cZ3,tZ3,cZ4,tZ4,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,empate_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,empate_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,8.10804,-0.0005,-0.0003,0,0,0.0005,0.000376,0,1,-0.0005,-0.000438,0,0,0.0005,0.00033,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34162e-09,8.34163e-09,5,3.75402e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,5.98591e-08,3.83804e-09,3.88058e-09,4.99997,5,5,4.99999,3.88058e-09,3.83804e-09,1.78049e-06,5,0,0,3,0,1,0,1,2,2,0
5,0.00190265,0.996195,0.0754791,-0.0435779,8.21074,-0.000482147,-0.000282148,2,2,0.000438569,0.000314568,0,1,-0.000514048,-0.000452048,2,0,0.000557626,0.000387624,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75436e-08,1.66832e-08,5,3.75431e-08,5,8.34159e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,2.40667e-08,3.84849e-09,3.86713e-09,2.77357e-07,5,5,5,3.86713e-09,3.84849e-09,4.99999,5,2,0,1,0,3,1,0,1,2,1
10,0.00379082,0.984808,0.150384,-0.0868241,8.70358,-0.000460624,-0.000260624,2,2,0.0003738,0.0002498,0,1,-0.000524184,-0.000462184,2,0,0.000611008,0.000441008,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75425e-08,1.66832e-08,5,3.75438e-08,5,8.34162e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.21772e-08,3.8631e-09,3.85708e-09,6.6086e-09,5,5,5,3.85708e-09,3.8631e-09,5,5,2,0,1,0,3,1,0,1,2,1
15,0.00565014,0.965926,0.224144,-0.12941,9.49369,-0.000435596,-0.000235596,2,2,0.000306186,0.000182188,0,1,-0.00053033,-0.000468332,2,0,0.00065974,0.00048974,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75447e-08,1.66832e-08,5,3.75437e-08,5,8.3416e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,7.67373e-09,3.88197e-09,3.84981e-09,4.13387e-09,5,5,5,3.8498e-09,3.88197e-09,5,5,2,0,1,0,3,1,0,1,2,1
20,0.00746646,0.939693,0.296198,-0.17101,10.4652,-0.000407252,-0.000207252,2,2,0.000236242,0.000112244,0,1,-0.00053244,-0.00047044,2,0,0.00070345,0.000533452,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75435e-08,1.66832e-08,5,3.7544e-08,5,8.3416e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,5.78623e-09,3.90705e-09,3.84493e-09,3.95117e-09,5,5,5,3.84493e-09,3.90705e-09,5,5,2,0,1,0,3,1,0,1,2,1
25,0.00922596,0.906308,0.365998,-0.211309,11.5154,-0.000375809,-0.000175808,2,2,0.0001645,4.05e-05,0,1,-0.000530498,-0.0004685,2,0,0.000741808,0.000571808,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75449e-08,1.66832e-08,5,3.75444e-08,5,8.34161e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.92564e-09,3.9448e-09,3.84217e-09,3.89733e-09,5,5,5,3.84217e-09,3.9448e-09,5,5,2,0,1,0,3,1,0,1,2,1
30,0.0109152,0.866025,0.433013,-0.25,12.5655,-0.000341506,-0.000141508,2,2,9.15064e-05,-3.2492e-05,0,1,-0.000524519,-0.00046252,2,0,0.000774519,0.00060452,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,3.75446e-08,1.66832e-08,5,3.75446e-08,5,8.34162e-09,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,4.99999,4.50305e-09,4.02232e-09,3.84128e-09,3.86494e-09,4.99999,5,5,3.84128e-09,4.02232e-09,5,5,2,0,1,0,3,1,0,1,2,1
35,0.0125214,0.819152,0.496732,-0.286788,13.5612,-0.000304604,-0.000104604,2,2,1.7816e-05,-0.000106184,0,1,-0.000514548,-0.000452548,2,0,0.000801336,0.000631336,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,5,5,3.75428e-08,5,8.34161e-09,5,5,1.21974,1.81384,8.10796e-09,0.00123953,0.0564112,4.28073e-09,4.29048e-09,3.84215e-09,3.84187e-09,0.0564115,5,5,3.84215e-09,4.29048e-09,5,5,2,0,1,0,3,1,0,1,2,1
40,0.0140324,0.766044,0.55667,-0.321394,14.4652,-0.000265384,-6.5384e-05,2,2,-5.60099e-05,-0.000180008,0,1,-0.000500661,-0.00043866,2,0,0.000822054,0.000652056,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,5,5,3.75432e-08,5,8.34161e-09,5,5,1.21974,1.81384,8.10796e-09,0.00123953,1.09869e-07,4.15576e-09,5.93774e-09,3.84491e-09,3.83667e-09,1.09869e-07,5,5,3.84491e-09,5.93774e-09,5,5,2,0,1,0,3,1,0,1,2,1
45,0.0154365,0.707107,0.612372,-0.353553,15.2547,-0.000224144,-2.4144e-05,2,2,-0.00012941,-0.000253408,0,1,-0.000482963,-0.000420964,2,0,0.000836516,0.000666516,2,1,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,5,5,3.75449e-08,5,8.3416e-09,5,5,1.21974,1.81384,8.10796e-09,0.00123953,1.34902e-08,4.08086e-09,2.51787e-08,3.84984e-09,3.83671e-09,1.34904e-08,5,5,3.84984e-09,2.51787e-08,5,5,2,0,1,0,3,1,0,1,2,1
