ang,peso,gx,gy,gz,desv_grad,b1_ideal,b1_medido,voto_ideal1_v,voto_ideal1_t,b2_ideal,b2_medido,voto_ideal2_v,voto_ideal2_t,b3_ideal,b3_medido,voto_ideal3_v,voto_ideal3_t,b4_ideal,b4_medido,voto_ideal4_v,voto_ideal4_t,cX1,tX1,cX2,tX2,cX3,tX3,cX4,tX4,XPv,XPt,Xv,Xt,XNv,XNt,cY1,tY1,cY2,tY2,cY3,tY3,cY4,tY4,YPv,YPt,Yv,Yt,YNv,YNt,cZ1,tZ1,cZ2,tZ2,cZ3,tZ3,cZ4,tZ4,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,empate_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,empate_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,0,3.0272,-0.0011115,-0.0009115,0,0,0.0011115,0.0009875,0,1,-0.0011115,-0.0010495,0,0,0.0011115,0.0009415,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34161e-09,8.34161e-09,5,3.75409e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.03377e-07,3.83674e-09,3.83674e-09,4.99999,5,5,4.99999,3.83674e-09,3.83674e-09,1.77863e-06,5,0,0,3,0,1,0,1,2,2,0
5,0.00190265,0.996195,0,0.0871557,3.65071,-0.0010104,-0.000810396,2,2,0.00120414,0.00108014,0,1,-0.00120414,-0.00114214,2,0,0.0010104,0.000840396,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34161e-09,8.34161e-09,5,3.75443e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,5.00778e-09,3.83675e-09,3.83673e-09,5,5,5,5,3.83673e-09,3.83675e-09,1.19384e-07,5,2,0,1,0,3,1,0,1,2,1
10,0.00379082,0.984808,0,0.173648,4.25745,-0.000901604,-0.000701604,2,2,0.00128762,0.00116362,0,1,-0.00128762,-0.00122562,2,0,0.000901604,0.000731604,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.3416e-09,8.3416e-09,5,3.75432e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.01237e-09,3.83675e-09,3.83673e-09,5,5,5,5,3.83673e-09,3.83675e-09,3.91043e-09,5,2,0,1,0,3,1,0,1,2,1
15,0.00565014,0.965926,0,0.258819,4.83298,-0.000785949,-0.000585948,2,2,0.0013613,0.0012373,0,1,-0.0013613,-0.0012993,2,0,0.000785949,0.000615948,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.3416e-09,8.3416e-09,5,3.75434e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.91418e-09,3.83675e-09,3.83672e-09,5,5,5,5,3.83672e-09,3.83675e-09,3.84681e-09,5,2,0,1,0,3,1,0,1,2,1
20,0.00746646,0.939693,0,0.34202,5.36741,-0.000664313,-0.000464312,2,2,0.00142462,0.00130062,0,1,-0.00142462,-0.00136262,2,0,0.000664313,0.000494312,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34161e-09,8.34161e-09,5,3.7544e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.87018e-09,3.83675e-09,3.8367e-09,5,5,5,5,3.8367e-09,3.83675e-09,3.83714e-09,5,2,0,1,0,3,1,0,1,2,1
25,0.00922596,0.906308,0,0.422618,5.85383,-0.000537621,-0.00033762,2,2,0.0014771,0.0013531,0,1,-0.0014771,-0.0014151,2,0,0.000537621,0.00036762,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.3416e-09,8.3416e-09,5,3.75433e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.84034e-09,3.83676e-09,3.86955e-09,5,5,5,5,3.86955e-09,3.83676e-09,3.83681e-09,5,2,0,1,0,3,1,0,1,2,1
30,0.0109152,0.866025,0,0.5,6.2872,-0.000406837,-0.000206836,2,2,0.00151834,0.00139434,0,1,-0.00151834,-0.00145634,2,0,0.000406837,0.000236836,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34162e-09,8.34162e-09,5,3.75419e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83667e-09,3.83676e-09,-2.63858e-08,5,5,5,5,-2.63859e-08,3.83676e-09,3.83676e-09,5,2,0,1,0,3,1,0,1,2,1
35,0.0125214,0.819152,0,0.573576,6.66388,-0.000272957,-7.2956e-05,2,2,0.00154802,0.00142402,0,1,-0.00154802,-0.00148602,2,0,0.000272957,0.000102956,2,1,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,5,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,5,8.34161e-09,8.3416e-09,5,3.75444e-08,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83669e-09,3.83676e-09,1.36603e-08,5,5,5,5,1.36603e-08,3.83676e-09,3.83675e-09,5,2,0,1,0,3,1,0,1,2,1
40,0.0140324,0.766044,0,0.642788,6.98141,-0.000137,6.3e-05,2,2,0.00156592,0.00144192,0,1,-0.00156592,-0.00150392,2,0,0.000137,-3.3e-05,2,1,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,5,2.5794,1.81384,5,0.00123953,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,8.34161e-09,8.34161e-09,5,8.3416e-09,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.8367e-09,3.83676e-09,4.99999,5,5,5,5,4.99999,3.83676e-09,3.83675e-09,5,2,0,1,0,3,1,0,1,2,1
45,0.0154365,0.707107,0,0.707107,7.23848,-1.26363e-19,0.0002,2,2,0.0015719,0.0014479,0,1,-0.0015719,-0.0015099,2,0,1.26363e-19,-0.00017,2,1,1.66832e-08,1.66832e-08,1.66832e-08,5,1.66832e-08,5,1.66832e-08,1.66832e-08,7.55851e-09,5,2.5794,1.81384,5,0.00123953,1.66832e-08,1.66832e-08,5,1.66832e-08,1.66832e-08,1.66832e-08,1.66832e-08,5,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,8.34161e-09,8.34162e-09,5,8.34161e-09,5,1.66832e-08,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83671e-09,3.83676e-09,5,5,5,5,5,5,3.83676e-09,3.83675e-09,5,2,0,1,0,3,1,0,1,2,1
