ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,4.22383,0,0.00423365,0.00443365,0.00590439,0.00578039,0.00423365,0.00429565,0.00590439,0.00573439,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,2.44137e-08,3.83686e-09,3.83686e-09,5,5,5,5,3.83686e-09,3.83686e-09,2.07148e-05,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,0.0754791,-0.0435779,5.57531,1.24889,0.00429436,0.00449436,0.00583487,0.00571087,0.00419951,0.0042615,0.00600356,0.00583356,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.82092e-09,3.83686e-09,3.83686e-09,2.7908e-07,5,5,5,3.83686e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
10,0.00379082,0.984808,0.150384,-0.0868241,6.81579,2.40099,0.00438129,0.00458129,0.00579066,0.00566666,0.00419156,0.00425356,0.00613506,0.00596506,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.02659e-09,3.83686e-09,3.83685e-09,5.71144e-09,5,5,5,3.83685e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
15,0.00565014,0.965926,0.224144,-0.12941,7.87392,3.3857,0.00449337,0.00469337,0.00576646,0.00564246,0.00420872,0.00427072,0.00629938,0.00612938,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.92042e-09,3.83686e-09,3.83683e-09,4.04499e-09,5,5,5,3.83683e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
20,0.00746646,0.939693,0.296198,-0.17101,8.71688,4.17344,0.00462893,0.00482893,0.00575669,0.00563269,0.0042493,0.0043113,0.00649447,0.00632447,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.87983e-09,3.83686e-09,3.83671e-09,3.93989e-09,5,5,5,3.83671e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
25,0.00922596,0.906308,0.365998,-0.211309,9.34016,4.77479,0.00478578,0.00498578,0.00575594,0.00563194,0.00431107,0.00437307,0.00671568,0.00654568,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.85467e-09,3.83687e-09,3.83745e-09,3.91917e-09,5,5,5,3.83745e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
30,0.0109152,0.866025,0.433013,-0.25,9.75669,5.22902,0.0049613,0.0051613,0.0057594,0.0056354,0.00439148,0.00445348,0.00695604,0.00678604,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.84074e-09,3.83689e-09,3.85133e-09,3.91659e-09,5,5,5,3.85133e-09,3.83689e-09,5,5,2,1,0,3,1,1,2,1
35,0.0125214,0.819152,0.496732,-0.286788,9.99355,5.59179,0.00515261,0.0053526,0.00576305,0.00563905,0.00448774,0.00454974,0.00720678,0.00703678,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83878e-09,3.83696e-09,3.87619e-09,3.91697e-09,5,5,5,3.87619e-09,3.83696e-09,5,5,2,1,0,3,1,1,2,1
40,0.0140324,0.766044,0.55667,-0.321394,10.0933,5.92756,0.00535657,0.00555657,0.00576367,0.00563967,0.00459696,0.00465896,0.00745799,0.00728799,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83763e-09,3.83716e-09,3.90398e-09,3.91706e-09,5,5,5,3.90398e-09,3.83716e-09,5,5,2,1,0,3,1,1,2,1
45,0.0154365,0.707107,0.612372,-0.353553,10.1161,6.30361,0.00556991,0.00576991,0.0057589,0.0056349,0.00471625,0.00477825,0.00769931,0.00752931,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,1.47472e-07,3.83704e-09,3.83796e-09,3.94072e-09,3.91626e-09,1.47472e-07,5,5,3.94072e-09,3.83796e-09,5,5,2,1,0,3,1,1,2,1
50,0.0167231,0.642788,0.663414,-0.383022,10.1375,6.7799,0.00578924,0.00598924,0.00574708,0.00562308,0.00484277,0.00490477,0.0079206,0.0077506,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,4.42215e-09,3.83674e-09,3.85845e-09,3.99672e-09,3.91433e-09,4.42215e-09,5,5,3.99672e-09,3.85845e-09,5,5,2,0,0,4,2,1,1,2
55,0.0178825,0.573576,0.709406,-0.409576,10.2378,7.39522,0.00601109,0.00621108,0.00572719,0.00560319,0.0049738,0.0050358,0.00811253,0.00794253,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.95575e-09,3.84202e-09,3.90074e-09,4.10229e-09,3.91114e-09,3.95575e-09,5,5,4.10229e-09,3.90074e-09,5,5,2,0,0,4,2,1,1,2
60,0.0189057,0.5,0.75,-0.433013,10.4871,8.15794,0.00623192,0.00643192,0.00569872,0.00557472,0.00510671,0.00516871,0.0082671,0.0080971,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.9125e-09,3.85504e-09,4.02026e-09,4.32345e-09,3.90671e-09,3.9125e-09,5,5,4.32345e-09,4.02026e-09,5,5,2,0,0,4,2,1,1,2
65,0.0197851,0.422618,0.784886,-0.453154,10.9308,9.04798,0.00644815,0.00664815,0.00566155,0.00553755,0.00523901,0.00530101,0.00837795,0.0082079,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.90154e-09,3.86994e-09,7.00129e-09,4.70116e-09,3.90113e-09,3.90154e-09,5,5,4.70116e-09,7.00128e-09,5,5,2,0,0,4,2,1,1,2
70,0.0205139,0.34202,0.813798,-0.469846,11.5824,10.0279,0.00665619,0.00685618,0.00561588,0.00549188,0.00536835,0.00543034,0.00844062,0.00827056,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.89461e-09,3.8862e-09,3.20356e-06,5.052e-09,3.89456e-09,3.89461e-09,5,5,5.052e-09,3.20356e-06,5,5,2,0,0,4,2,1,1,2
75,0.0210866,0.258819,0.836516,-0.482963,12.4314,11.0566,0.00685244,0.00705244,0.0055621,0.0054381,0.00549246,0.00555446,0.00845263,0.00828262,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.88722e-09,3.90367e-09,5,5.28497e-09,3.88719e-09,3.88722e-09,5,5,5.28497e-09,5,5,5,2,0,0,4,2,1,1,2
80,0.0214988,0.173648,0.852869,-0.492404,13.4558,12.1001,0.00703337,0.00723337,0.0055008,0.0053768,0.00560925,0.00567125,0.00841348,0.00824348,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.87923e-09,3.92239e-09,5,6.11234e-09,3.87921e-09,3.87923e-09,5,5,6.11234e-09,5,5,5,2,1,1,2,0,2,1,1
85,0.0217474,0.0871557,0.86273,-0.498097,14.6301,13.14,0.00719553,0.00739553,0.00543264,0.00530864,0.00571673,0.00577873,0.00832453,0.00815452,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.87081e-09,3.94251e-09,5,1.12284e-08,3.8708e-09,3.87081e-09,5,5,1.12284e-08,5,5,5,2,1,1,2,0,2,1,1
90,0.0218305,6.12323e-17,0.866025,-0.5,15.9306,14.1754,0.00733566,0.00753566,0.00535838,0.00523438,0.00581307,0.00587508,0.00818876,0.00801876,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.86214e-09,3.96414e-09,5,7.0858e-08,3.86213e-09,3.86214e-09,5,5,7.0858e-08,5,5,5,2,1,1,2,0,2,1,1
95,0.0217474,-0.0871557,0.86273,-0.498097,17.329,15.2203,0.00745078,0.00765078,0.00527881,0.00515481,0.00589664,0.00595864,0.00801055,0.00784055,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.85341e-09,3.98704e-09,5,4.72276e-06,3.85341e-09,3.85341e-09,5,5,4.72275e-06,5,5,5,2,1,1,2,0,2,1,1
100,0.0214988,-0.173648,0.852869,-0.492404,18.7827,16.2914,0.00753822,0.00773822,0.00519476,0.00507076,0.00596601,0.00602801,0.00779536,0.00762536,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.84484e-09,4.01027e-09,5,5,3.84485e-09,3.84484e-09,5,5,5,5,5,5,2,1,1,2,0,2,1,1
105,0.0210866,-0.258819,0.836516,-0.482963,20.2267,17.3904,0.00759584,0.00779584,0.0051071,0.0049831,0.00602005,0.00608205,0.00754942,0.00737942,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.83727e-09,4.03198e-09,5,5,3.83727e-09,3.83727e-09,5,5,5,5,5,5,2,1,1,2,0,2,1,1
110,0.0205139,-0.34202,0.813798,-0.469846,21.5739,18.487,0.00762204,0.00782204,0.00501674,0.00489274,0.00605797,0.00611997,0.00727945,0.00710945,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.83665e-09,4.04959e-09,5,5,3.83665e-09,3.83665e-09,5,5,5,5,5,5,2,1,1,2,0,2,1,1
115,0.0197851,-0.422618,0.784886,-0.453154,22.7242,19.5132,0.00761597,0.00781597,0.00492461,0.0048006,0.00607941,0.00614141,0.00699238,0.00682238,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.83673e-09,4.06057e-09,5,5,3.83673e-09,3.83673e-09,5,5,5,5,5,5,2,1,1,2,0,2,1,1
120,0.0189057,-0.5,0.75,-0.433013,23.5817,20.3739,0.00757759,0.00777759,0.00483173,0.00470773,0.00608455,0.00614655,0.00669513,0.00652513,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.83682e-09,4.06333e-09,5,5,3.83682e-09,3.83682e-09,5,5,5,5,5,5,2,1,1,2,0,2,1,1
125,0.0178825,-0.573576,0.709406,-0.409576,24.0687,20.9679,0.00750782,0.00770782,0.00473922,0.00461522,0.00607417,0.00613617,0.00639441,0.00622441,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123905,7.59397e-09,3.64445e-07,2.17814,2.17814,4.95175,4.95188,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.83685e-09,4.05783e-09,5,5,3.83685e-09,3.83685e-09,5,5,5,5,5,5,2,1,1,2,0,2,1,1
130,0.0167231,-0.642788,0.663414,-0.383022,24.1343,21.2083,0.00740861,0.00760861,0.0046483,0.0045243,0.0060498,0.0061118,0.00609658,0.00592658,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,1.81384,1.81384,0.00123953,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,3.83686e-09,4.04564e-09,5,5,3.83686e-09,3.83686e-09,5.82212e-08,5,5,5,5,5.82212e-08,2,1,1,2,0,2,1,1
135,0.0154365,-0.707107,0.612372,-0.353553,23.7542,21.0336,0.00728301,0.00748301,0.00456035,0.00443635,0.00601376,0.00607576,0.00580752,0.00563752,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,1.81384,1.81384,0.00123953,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,3.83686e-09,4.02931e-09,5,5,3.83688e-09,3.83686e-09,4.12477e-09,5,5,5,5,4.12477e-09,1,1,2,1,1,1,2,1
140,0.0140324,-0.766044,0.55667,-0.321394,22.9252,20.4085,0.00713518,0.00733518,0.00447693,0.00435293,0.00596926,0.00603126,0.00553254,0.00536254,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,1.81384,1.81384,0.00123953,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,3.83686e-09,4.01158e-09,5,5,3.83714e-09,3.83686e-09,3.90577e-09,5,5,5,5,3.90577e-09,1,1,2,1,1,1,2,1
