ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,1.91099,0,0.00358998,0.00378998,0.00695079,0.00682679,0.00358998,0.00365198,0.00695079,0.00678079,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.93839e-08,3.83687e-09,3.83687e-09,5,5,5,5,3.83687e-09,3.83687e-09,0.000205355,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,1.06735e-17,-0.0871557,6.30018,4.55431,0.00361788,0.00381788,0.0070001,0.0068761,0.00362778,0.00368978,0.00704417,0.00687417,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,2.7527e-08,3.83687e-09,3.83687e-09,4.9456,5,5,5,3.83687e-09,3.83687e-09,0.0827732,5,0,3,0,1,1,1,2,1
10,0.00379082,0.984808,2.12658e-17,-0.173648,9.92832,8.31881,0.0037002,0.0039002,0.00714392,0.00701992,0.00374076,0.00380276,0.00731819,0.00714819,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.07337e-07,3.83687e-09,3.83687e-09,7.42561e-06,5,5,5,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
15,0.00565014,0.965926,3.16962e-17,-0.258819,12.3686,10.9631,0.0038255,0.0040255,0.0073362,0.0072122,0.00393511,0.00399711,0.00778784,0.00761784,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,2.14585e-05,3.83687e-09,3.83687e-09,5.75842e-08,5,5,4.99999,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
20,0.00746646,0.939693,4.18854e-17,-0.34202,13.8742,12.7002,0.00398343,0.00418343,0.00754001,0.00741601,0.0042131,0.0042751,0.0084397,0.0082697,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83686e-09,3.83686e-09,9.3711e-09,5,5,1.68712e-07,3.83686e-09,3.83686e-09,5,5,0,3,0,1,1,1,2,1
25,0.00922596,0.906308,5.17558e-17,-0.422618,14.9628,13.9876,0.00416534,0.00436534,0.0077293,0.0076053,0.00457343,0.00463543,0.00923643,0.00906644,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83685e-09,3.83686e-09,7.67772e-09,5,5,4.31396e-09,3.83686e-09,3.83685e-09,5,5,0,3,0,1,1,1,2,1
30,0.0109152,0.866025,6.12323e-17,-0.5,15.987,15.1522,0.00436441,0.00456441,0.00788768,0.00776368,0.00501224,0.00507424,0.0101264,0.00995644,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.84518e-09,3.83685e-09,9.04564e-09,5,5,3.8923e-09,3.83685e-09,3.84518e-09,5,5,0,3,0,1,1,1,2,1
35,0.0125214,0.819152,7.02429e-17,-0.573576,16.9898,16.2542,0.00457545,0.00477545,0.00800629,0.00788228,0.00552413,0.00558613,0.011053,0.010883,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.90847e-09,3.83676e-09,1.07893e-08,5,5,3.83902e-09,3.83676e-09,3.90847e-09,5,5,0,3,0,1,1,1,2,1
40,0.0140324,0.766044,7.87188e-17,-0.642788,17.8414,17.1935,0.00479459,0.00499458,0.00808156,0.00795756,0.00610288,0.00616488,0.0119609,0.0117909,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,4.07352e-09,3.83802e-09,1.16447e-08,5,5,3.83854e-09,3.83802e-09,4.07352e-09,5,5,0,3,0,1,1,1,2,1
45,0.0154365,0.707107,8.65956e-17,-0.707107,18.3961,17.8437,0.00501898,0.00521898,0.00811352,0.00798952,0.00674166,0.00680366,0.0127999,0.0126299,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,5.01158e-09,-1.80173e-07,8.77598e-09,5,5,3.86043e-09,-1.80174e-07,5.01158e-09,5,5,0,3,0,1,1,1,2,1
