ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,0,10.5134,0,0.00459538,0.00479538,0.00542764,0.00530364,0.00459538,0.00465738,0.00542764,0.00525764,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.20763e-08,3.85839e-09,3.92588e-09,5,5,5,5,3.92588e-09,3.85839e-09,9.91834e-06,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,0.0754791,0.0435779,11.4816,0.650799,0.00464022,0.00484022,0.00541062,0.00528662,0.00455397,0.00461597,0.00544109,0.00527108,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,5.48601e-09,3.85147e-09,3.94917e-09,4.99995,5,5,5,3.94917e-09,3.85147e-09,0.000438064,5,2,1,0,3,1,1,2,1
10,0.00379082,0.984808,0.150384,0.0868241,12.5159,1.26592,0.00468829,0.00488828,0.00539023,0.00526623,0.00451617,0.00457816,0.00545082,0.00528082,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.12827e-09,3.84656e-09,3.99163e-09,0.000526956,5,5,5,3.99163e-09,3.84656e-09,4.99994,5,2,1,0,3,1,1,2,1
15,0.00565014,0.965926,0.224144,0.12941,13.6105,1.81115,0.00473936,0.00493936,0.00536667,0.00524268,0.00448211,0.00454411,0.00545674,0.00528674,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.95489e-09,3.84343e-09,4.08908e-09,1.14777e-05,5,5,5,4.08908e-09,3.84343e-09,5,5,2,1,0,3,1,1,2,1
20,0.00746646,0.939693,0.296198,0.17101,14.7596,2.25547,0.00479317,0.00499317,0.00534021,0.00521621,0.00445192,0.00451392,0.00545878,0.00528878,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.90208e-09,3.8419e-09,4.39968e-09,1.40143e-06,5,5,5,4.39968e-09,3.8419e-09,5,5,2,1,0,3,1,1,2,1
25,0.00922596,0.906308,0.365998,0.211309,15.9494,2.57307,0.00484944,0.00504944,0.0053111,0.0051871,0.00442571,0.00448771,0.00545691,0.00528691,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.87228e-09,3.8416e-09,5.88439e-09,3.0406e-07,5,5,5,5.88439e-09,3.8416e-09,5,5,2,1,0,3,1,1,2,1
30,0.0109152,0.866025,0.433013,0.25,17.1562,2.74599,0.00490782,0.00510782,0.00527964,0.00515564,0.00440356,0.00446556,0.00545115,0.00528115,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.8512e-09,3.84225e-09,1.78536e-08,9.29518e-08,5,5,5,1.78536e-08,3.84225e-09,5,5,2,1,0,3,1,1,2,1
35,0.0125214,0.819152,0.496732,0.286788,18.3445,2.76758,0.00496796,0.00516796,0.00524615,0.00512215,0.00438554,0.00444754,0.00544157,0.00527156,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,8.4511e-06,3.84042e-09,3.84417e-09,2.46422e-07,3.68672e-08,8.45112e-06,5,5,2.46422e-07,3.84417e-09,5,5,2,1,0,3,1,1,2,1
40,0.0140324,0.766044,0.55667,0.321394,19.4714,2.64724,0.00502946,0.00522946,0.00521094,0.00508694,0.0043717,0.0044337,0.00542827,0.00525827,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,4.44592e-08,3.83894e-09,3.84776e-09,5.37268e-05,1.83396e-08,4.44592e-08,5,5,5.37268e-05,3.84776e-09,5,5,2,1,0,3,1,1,2,1
45,0.0154365,0.707107,0.612372,0.353553,20.4897,2.41729,0.00509186,0.00529186,0.00517434,0.00505034,0.00436208,0.00442408,0.0054114,0.0052414,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,5.69552e-09,3.83801e-09,3.85325e-09,5,1.11505e-08,5.69552e-09,5,5,5,3.85325e-09,5,5,2,1,0,3,1,1,2,1
50,0.0167231,0.642788,0.663414,0.383022,21.3521,2.1434,0.00515471,0.00535471,0.00513668,0.00501268,0.00435671,0.00441871,0.00539114,0.00522114,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,4.12842e-09,3.83747e-09,3.8609e-09,5,7.98872e-09,4.12842e-09,5,5,5,3.8609e-09,5,5,2,0,0,4,2,1,1,2
55,0.0178825,0.573576,0.709406,0.409576,22.0176,1.93386,0.00521748,0.00541748,0.00509828,0.00497428,0.00435561,0.00441761,0.00536771,0.00519771,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.95286e-09,3.83717e-09,3.87111e-09,5,6.45164e-09,3.95286e-09,5,5,5,3.87112e-09,5,5,2,0,0,4,2,1,1,2
60,0.0189057,0.5,0.75,0.433013,22.4538,1.91305,0.00527964,0.00547964,0.00505948,0.00493548,0.00435877,0.00442077,0.00534136,0.00517136,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.90097e-09,3.83701e-09,3.88465e-09,5,5.64122e-09,3.90097e-09,5,5,5,3.88465e-09,5,5,2,0,0,4,2,1,1,2
65,0.0197851,0.422618,0.784886,0.453154,22.6409,2.1222,0.00534063,0.00554063,0.00502058,0.00489658,0.00436619,0.00442819,0.00531236,0.00514236,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.87184e-09,3.83694e-09,3.90313e-09,5,5.1887e-09,3.87184e-09,5,5,5,3.90313e-09,5,5,2,0,0,4,2,1,1,2
