ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,0.948571,0,0.00228089,0.00248089,0.00877124,0.00864724,0.00228089,0.00234289,0.00877124,0.00860124,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.85496e-08,3.83687e-09,3.83687e-09,4.99982,5,5,5,3.83687e-09,3.83687e-09,0.00461109,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,1.06735e-17,-0.0871557,7.6103,7.13985,0.00219893,0.00239893,0.00796767,0.00784367,0.00237631,0.00243831,0.00963381,0.00946381,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83687e-09,3.83687e-09,1.51528e-08,5,5,5.3729e-06,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
10,0.00379082,0.984808,2.12658e-17,-0.173648,14.1724,13.3867,0.0021292,0.0023292,0.00723147,0.00710746,0.00248664,0.00254864,0.0105396,0.0103696,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83687e-09,3.83687e-09,5.17184e-09,5,5,4.84686e-09,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
15,0.00565014,0.965926,3.16962e-17,-0.258819,19.2381,18.2443,0.00207065,0.00227065,0.00656542,0.00644142,0.00261363,0.00267563,0.0114637,0.0112937,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83687e-09,3.83687e-09,4.33657e-09,5,5,3.91316e-09,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
20,0.00746646,0.939693,4.18854e-17,-0.34202,22.7643,21.6712,0.00202245,0.00222246,0.00596848,0.00584448,0.00275927,0.00282127,0.0123712,0.0122012,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83687e-09,3.83687e-09,3.95676e-09,5,5,3.84424e-09,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
25,0.00922596,0.906308,5.17558e-17,-0.422618,25.0131,23.8973,0.00198391,0.00218391,0.00543714,0.00531314,0.00292593,0.00298793,0.0132182,0.0130482,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83686e-09,3.83687e-09,3.87133e-09,5,5,3.83896e-09,3.83687e-09,3.83686e-09,5,5,0,3,0,1,1,1,2,1
30,0.0109152,0.866025,6.12323e-17,-0.5,26.327,25.2347,0.00195447,0.00215447,0.00496653,0.00484253,0.00311634,0.00317834,0.0139539,0.0137839,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83685e-09,3.83687e-09,3.83669e-09,5,5,3.83708e-09,3.83687e-09,3.83685e-09,5,5,0,3,0,1,1,1,2,1
35,0.0125214,0.819152,7.02429e-17,-0.573576,27.013,25.9706,0.00193373,0.00213373,0.00455116,0.00442716,0.00333365,0.00339565,0.0145267,0.0143567,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83707e-09,3.83687e-09,3.83686e-09,5,5,3.83683e-09,3.83687e-09,3.83707e-09,5,5,0,3,0,1,1,1,2,1
40,0.0140324,0.766044,7.87188e-17,-0.642788,27.2999,26.323,0.0019214,0.0021214,0.0041854,0.0040614,0.00358145,0.00364345,0.0148914,0.0147214,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,-6.95695e-08,3.83687e-09,3.83687e-09,5,5,3.83682e-09,3.83687e-09,-6.95694e-08,5,5,0,3,0,1,1,1,2,1
45,0.0154365,0.707107,8.65956e-17,-0.707107,27.3263,26.4255,0.00191731,0.0021173,0.00386384,0.00373984,0.00386384,0.00392584,0.0150167,0.0148467,5,5,1.21974,1.81384,8.10796e-09,0.00123953,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,3.83687e-09,3.83687e-09,5,5,3.83683e-09,3.83687e-09,5,5,5,0,4,0,0,0,2,1,1
