ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,6.06332,0,0.00440253,0.00460253,0.00564887,0.00552488,0.00440253,0.00446453,0.00564887,0.00547888,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,2.73314e-08,3.83701e-09,3.83785e-09,5,5,5,5,3.83785e-09,3.83701e-09,1.36406e-05,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,0.0754791,-0.0435779,5.85218,1.11754,0.00442064,0.00462064,0.00555606,0.00543206,0.00438837,0.00445036,0.00573832,0.00556832,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.08687e-08,3.83723e-09,3.83733e-09,9.55946e-08,5,5,5,3.83733e-09,3.83723e-09,5,5,2,1,0,3,1,1,2,1
10,0.00379082,0.984808,0.150384,-0.0868241,6.7312,2.14396,0.00444265,0.00464265,0.00546092,0.00533692,0.00437819,0.00444019,0.0058233,0.0056533,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,6.3695e-09,3.83774e-09,3.83708e-09,4.5117e-09,5,5,5,3.83708e-09,3.83774e-09,5,5,2,1,0,3,1,1,2,1
15,0.00565014,0.965926,0.224144,-0.12941,8.09782,3.00063,0.00446846,0.00466846,0.00536446,0.00524046,0.00437204,0.00443404,0.00590272,0.00573272,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.91609e-09,3.83877e-09,3.83695e-09,3.9513e-09,5,5,5,3.83695e-09,3.83877e-09,5,5,2,1,0,3,1,1,2,1
20,0.00746646,0.939693,0.296198,-0.17101,9.43956,3.63088,0.004498,0.004698,0.00526764,0.00514364,0.00436993,0.00443193,0.00597551,0.00580551,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.37798e-09,3.84064e-09,3.83688e-09,3.88593e-09,5,5,5,3.83688e-09,3.84064e-09,5,5,2,1,0,3,1,1,2,1
25,0.00922596,0.906308,0.365998,-0.211309,10.5084,4.00485,0.00453115,0.00473115,0.00517131,0.00504731,0.00437187,0.00443387,0.00604063,0.00587063,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.15281e-09,3.85581e-09,3.83684e-09,3.85542e-09,5,5,5,3.83684e-09,3.85581e-09,5,5,2,1,0,3,1,1,2,1
30,0.0109152,0.866025,0.433013,-0.25,11.2172,4.12025,0.00456779,0.00476779,0.00507628,0.00495228,0.00437786,0.00443986,0.0060971,0.0059271,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.04672e-09,3.88617e-09,3.83679e-09,3.83859e-09,5,5,5,3.83679e-09,3.88617e-09,5,5,2,1,0,3,1,1,2,1
35,0.0125214,0.819152,0.496732,-0.286788,11.5628,4.00082,0.00460775,0.00480775,0.00498325,0.00485926,0.00438786,0.00444986,0.00614405,0.00597406,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.99048e-09,3.93747e-09,3.83675e-09,3.83674e-09,5,5,5,3.83675e-09,3.93747e-09,5,5,2,1,0,3,1,1,2,1
40,0.0140324,0.766044,0.55667,-0.321394,11.5861,3.6957,0.00465087,0.00485087,0.00489287,0.00476888,0.00440186,0.00446386,0.00618075,0.00601074,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,4.59965e-07,3.95707e-09,4.12462e-09,3.83672e-09,3.83677e-09,4.59965e-07,5,5,3.83672e-09,4.12462e-09,5,5,2,1,0,3,1,1,2,1
45,0.0154365,0.707107,0.612372,-0.353553,11.3491,3.28278,0.00469694,0.00489694,0.00480569,0.00468169,0.00441981,0.00448181,0.00620657,0.00603658,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,6.08259e-09,3.93513e-09,6.66981e-09,3.83669e-09,3.83683e-09,6.08259e-09,5,5,3.8367e-09,6.66981e-09,5,5,2,1,0,3,1,1,2,1
50,0.0167231,0.642788,0.663414,-0.383022,10.923,2.87857,0.00474573,0.00494573,0.00472219,0.00459819,0.00444166,0.00450366,0.00622111,0.00605111,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,4.02416e-09,3.91957e-09,1.81374e-07,3.8367e-09,3.83685e-09,4.02416e-09,5,5,3.8367e-09,1.81374e-07,5,5,2,0,0,4,2,1,1,2
