ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,10.4836,0,0.0046004,0.0048004,0.00543427,0.00531027,0.0046004,0.0046624,0.00543427,0.00526427,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.22254e-08,3.85828e-09,3.92538e-09,5,5,5,5,3.92538e-09,3.85828e-09,1.00079e-05,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,1.06735e-17,-0.0871557,14.6891,4.83569,0.00464973,0.00484973,0.00549542,0.00537142,0.0046517,0.0047137,0.00549831,0.00532831,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.62947e-08,3.85872e-09,3.92136e-09,5,5,5,5,3.92136e-09,3.85872e-09,1.40313e-05,5,0,3,0,1,1,1,2,1
10,0.00379082,0.984808,2.12658e-17,-0.173648,17.6666,8.87671,0.00479056,0.00499056,0.00566791,0.00554391,0.00480464,0.00486664,0.00568844,0.00551844,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,6.79863e-08,3.86328e-09,3.91064e-09,4.99999,5,5,5,3.91064e-09,3.86328e-09,0.000119967,5,0,3,0,1,1,1,2,1
15,0.00565014,0.965926,3.16962e-17,-0.258819,18.9623,11.7056,0.00500804,0.00520804,0.00592901,0.00580501,0.00505213,0.00511413,0.00599256,0.00582256,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.67622e-07,3.87814e-09,3.90201e-09,0.000574713,5,5,5,3.90201e-09,3.87814e-09,4.99997,5,0,3,0,1,1,1,2,1
20,0.00746646,0.939693,4.18854e-17,-0.34202,18.7733,13.3282,0.00528485,0.00548485,0.00625262,0.00612862,0.00538106,0.00544306,0.00638931,0.00621931,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.86002e-05,3.9123e-09,3.91034e-09,3.05856e-06,5,5,5,3.91034e-09,3.9123e-09,5,5,0,3,0,1,1,1,2,1
25,0.00922596,0.906308,5.17558e-17,-0.422618,17.5672,13.9848,0.00560392,0.00580392,0.00661371,0.00648972,0.00577532,0.00583732,0.00685316,0.00668316,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,3.71942e-07,2.17814,2.17814,4.95175,4.95175,5,5,4.00091e-09,3.95375e-09,3.16396e-07,5,5,7.39013e-05,3.95375e-09,4.00091e-09,5,5,0,3,0,1,1,1,2,1
30,0.0109152,0.866025,6.12323e-17,-0.5,15.8123,13.9643,0.00595006,0.00615006,0.00699064,0.00686664,0.00621826,0.00628026,0.00735844,0.00718844,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,4.64806e-09,4.06897e-09,1.0187e-07,5,5,6.24637e-07,4.06897e-09,4.64806e-09,5,5,0,3,0,1,1,1,2,1
35,0.0125214,0.819152,7.02429e-17,-0.573576,13.8663,13.5083,0.00631043,0.00651043,0.00736586,0.00724186,0.00669414,0.00675614,0.00788159,0.00771159,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,1.45513e-08,4.44907e-09,3.37432e-08,5,5,1.13456e-07,4.44907e-09,1.45513e-08,5,5,0,3,0,1,1,1,2,1
40,0.0140324,0.766044,7.87188e-17,-0.642788,11.9609,12.7849,0.00667447,0.00687448,0.00772566,0.00760166,0.00718865,0.00725065,0.00840205,0.00823205,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,1.16232e-07,5.07833e-09,3.50511e-08,5,5,5.02917e-08,5.07833e-09,1.16232e-07,5,5,0,3,0,1,1,1,2,1
45,0.0154365,0.707107,8.65956e-17,-0.707107,10.2276,11.8962,0.00703363,0.00723363,0.00805968,0.00793568,0.00768896,0.00775096,0.00890228,0.00873228,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,7.27499e-06,5.34309e-09,8.18133e-08,5,5,2.32311e-08,5.34309e-09,7.27499e-06,5,5,0,3,0,1,1,1,2,1
