ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,0,1.23141,0,0.00305127,0.00325127,0.00811441,0.00799041,0.00305127,0.00311327,0.00811441,0.00794441,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.85953e-08,3.83687e-09,3.83687e-09,4.99999,5,5,5,3.83687e-09,3.83687e-09,0.00101115,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,0.0754791,0.0435779,5.34366,5.98821,0.00314947,0.00334946,0.00773934,0.00761534,0.00297562,0.00303762,0.00851784,0.00834784,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.01902e-09,3.83687e-09,3.83687e-09,2.34242e-08,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
10,0.00379082,0.984808,0.150384,0.0868241,11.21,11.6677,0.00327376,0.00347376,0.00740035,0.00727635,0.00291948,0.00298148,0.00893677,0.00876677,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.87227e-09,3.83687e-09,3.83687e-09,5.41486e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
15,0.00565014,0.965926,0.224144,0.12941,16.5019,16.812,0.00342825,0.00362824,0.00709986,0.00697586,0.0028803,0.0029423,0.00935425,0.00918425,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.84154e-09,3.83687e-09,3.83687e-09,5.13359e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
20,0.00746646,0.939693,0.296198,0.17101,21.0831,21.3074,0.00361753,0.00381753,0.00683575,0.00671175,0.00285596,0.00291796,0.00975091,0.00958092,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83777e-09,3.83687e-09,3.83687e-09,4.82182e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
25,0.00922596,0.906308,0.365998,0.211309,24.9333,25.1295,0.00384676,0.00404676,0.00660263,0.00647863,0.00284474,0.00290674,0.010107,0.00993703,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83689e-09,3.83687e-09,3.83687e-09,4.39234e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
30,0.0109152,0.866025,0.433013,0.25,28.0794,28.2935,0.00412151,0.00432151,0.00639352,0.00626952,0.00284528,0.00290728,0.0104045,0.0102345,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83684e-09,3.83687e-09,3.83686e-09,4.14582e-09,5,5,5,3.83686e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
35,0.0125214,0.819152,0.496732,0.286788,30.5444,30.8111,0.00444775,0.00464776,0.00620119,0.00607719,0.00285649,0.00291849,0.0106284,0.0104584,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83685e-09,3.83687e-09,3.83685e-09,4.02981e-09,5,5,5,3.83685e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
40,0.0140324,0.766044,0.55667,0.321394,32.3176,32.6614,0.00483167,0.00503167,0.00601923,0.00589523,0.00287758,0.00293958,0.0107684,0.0105984,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83686e-09,3.83687e-09,3.84115e-09,3.9692e-09,5,5,5,3.84115e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
45,0.0154365,0.707107,0.612372,0.353553,33.3446,33.7799,0.00527942,0.00547942,0.00584261,0.00571861,0.00290795,0.00296995,0.0108191,0.0106491,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83687e-09,3.83687e-09,3.89282e-09,3.93081e-09,5,5,5,3.89282e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
50,0.0167231,0.642788,0.663414,0.383022,33.5353,34.0626,0.00579685,0.00599685,0.00566784,0.00554384,0.00294721,0.0030092,0.0107798,0.0106098,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,4.05381e-09,3.83687e-09,3.83687e-09,3.99921e-09,3.90205e-09,4.05381e-09,5,5,3.99921e-09,3.83687e-09,5,5,2,0,0,4,2,1,1,2
55,0.0178825,0.573576,0.709406,0.409576,32.7982,33.3912,0.00638892,0.00658892,0.00549286,0.00536886,0.00299512,0.00305712,0.0106544,0.0104844,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.87836e-09,3.83687e-09,3.83687e-09,4.58555e-09,3.8782e-09,3.87836e-09,5,5,4.58555e-09,3.83687e-09,5,5,2,0,0,4,2,1,1,2
60,0.0189057,0.5,0.75,0.433013,31.11,31.6959,0.00705909,0.0072591,0.00531678,0.00519277,0.00305159,0.00311359,0.0104505,0.0102805,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.85737e-09,3.83687e-09,3.83686e-09,5.19903e-09,3.85749e-09,3.85737e-09,5,5,5.19903e-09,3.83686e-09,5,5,2,0,0,4,2,1,1,2
65,0.0197851,0.422618,0.784886,0.453154,28.6268,29.0639,0.0078083,0.0080083,0.00513961,0.00501562,0.00311666,0.00317866,0.010178,0.010008,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83974e-09,3.83687e-09,3.83686e-09,2.64194e-08,3.83973e-09,3.83974e-09,5,5,2.64194e-08,3.83686e-09,5,5,2,0,0,4,2,1,1,2
70,0.0205139,0.34202,0.813798,0.469846,25.7656,25.8553,0.00863379,0.00883379,0.00496199,0.004838,0.00319047,0.00325247,0.00984838,0.00967838,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.8367e-09,3.83687e-09,3.83685e-09,2.24408e-05,3.8367e-09,3.8367e-09,5,5,2.24408e-05,3.83685e-09,5,5,2,0,0,4,2,1,1,2
75,0.0210866,0.258819,0.836516,0.482963,23.1149,22.6875,0.00952765,0.00972765,0.00478491,0.00466091,0.00327326,0.00333526,0.00947384,0.00930384,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83684e-09,3.83687e-09,3.83685e-09,5,3.83684e-09,3.83684e-09,5,5,5,3.83685e-09,5,5,2,0,0,4,2,1,1,2
80,0.0214988,0.173648,0.852869,0.492404,21.0924,20.1378,0.0104752,0.0106752,0.00460955,0.00448555,0.00336534,0.00342734,0.00906629,0.00889629,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83686e-09,3.83687e-09,3.83701e-09,5,3.83686e-09,3.83686e-09,5,5,5,3.83701e-09,5,5,2,0,0,4,2,1,1,2
85,0.0217474,0.0871557,0.86273,0.498097,19.6563,18.3451,0.0114536,0.0116536,0.00443716,0.00431316,0.00346712,0.00352912,0.00863691,0.00846692,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83686e-09,3.83687e-09,3.8393e-09,5,3.83686e-09,3.83686e-09,5,5,5,3.8393e-09,5,5,2,0,0,4,2,1,1,2
90,0.0218305,6.12323e-17,0.866025,0.5,18.4374,16.9866,0.0124308,0.0126308,0.00426897,0.00414497,0.00357906,0.00364106,0.00819575,0.00802575,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83687e-09,3.83687e-09,3.87097e-09,5,3.83687e-09,3.83687e-09,5,5,5,3.87097e-09,5,5,2,0,0,4,2,1,1,2
95,0.0217474,-0.0871557,0.86273,0.498097,17.0785,15.6358,0.0133655,0.0135655,0.00410614,0.00398214,0.0037017,0.0037637,0.00775149,0.00758149,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83687e-09,3.83687e-09,4.95693e-09,5,3.83687e-09,3.83687e-09,5,5,5,4.95693e-09,5,5,2,0,0,4,2,1,1,2
100,0.0214988,-0.173648,0.852869,0.492404,15.3992,14.0302,0.0142093,0.0144093,0.00394975,0.00382575,0.00383563,0.00389763,0.00731142,0.00714142,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.83687e-09,3.83687e-09,5,5,3.83687e-09,3.83687e-09,5,5,5,5,5,5,2,0,0,4,2,1,1,2
105,0.0210866,-0.258819,0.836516,0.482963,13.3781,12.0976,0.01491,0.01511,0.00380078,0.00367678,0.00398147,0.00404347,0.00688145,0.00671144,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.83687e-09,3.83687e-09,5,5,3.83687e-09,3.83687e-09,5,5,5,5,5,5,2,1,1,2,0,2,1,1
110,0.0205139,-0.34202,0.813798,0.469846,11.091,9.89255,0.0154179,0.0156179,0.00366015,0.00353615,0.00413989,0.00420189,0.00646621,0.00629621,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.83687e-09,3.83686e-09,5,5,3.83687e-09,3.83687e-09,5,5,5,5,5,5,2,1,1,2,0,2,1,1
115,0.0197851,-0.422618,0.784886,0.453154,8.67793,7.55579,0.0156931,0.0158931,0.00352871,0.00340471,0.00431158,0.00437358,0.00606924,0.00589924,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.83687e-09,3.83686e-09,5,5,3.83687e-09,3.83687e-09,5,5,5,5,5,5,2,1,1,2,0,2,1,1
120,0.0189057,-0.5,0.75,0.433013,6.36111,5.34564,0.0157134,0.0159134,0.00340727,0.00328327,0.00449725,0.00455925,0.00569311,0.00552311,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.83687e-09,3.83686e-09,5,5,3.83687e-09,3.83687e-09,5,5,5,5,5,5,2,1,1,2,0,2,1,1
125,0.0178825,-0.573576,0.709406,0.409576,4.55985,3.82945,0.0154791,0.0156791,0.00329666,0.00317266,0.00469759,0.00475959,0.00533959,0.00516959,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.83687e-09,3.83677e-09,5,5,3.83686e-09,3.83687e-09,5,5,5,5,5,5,2,1,1,2,0,2,1,1
130,0.0167231,-0.642788,0.663414,0.383022,3.99901,3.8809,0.0150151,0.0152151,0.00319768,0.00307368,0.00491329,0.00497529,0.00500986,0.00483986,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,1.81384,1.81384,0.00123953,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,3.83687e-09,3.83688e-09,5,5,3.83685e-09,3.83687e-09,4.23125e-08,5,5,5,5,4.23125e-08,2,1,1,2,0,2,1,1
