ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,0,4.22383,0,0.00423365,0.00443365,0.00590439,0.00578039,0.00423365,0.00429565,0.00590439,0.00573439,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,2.44137e-08,3.83686e-09,3.83686e-09,5,5,5,5,3.83686e-09,3.83686e-09,2.07148e-05,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,0,0.0871557,2.03858,4.78426,0.00427973,0.00447973,0.00597628,0.00585228,0.00427566,0.00433766,0.00596755,0.00579755,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,2.18795e-08,3.83686e-09,3.83686e-09,5,5,5,5,3.83686e-09,3.83686e-09,1.19257e-05,5,2,1,0,3,1,1,2,1
10,0.00379082,0.984808,0,0.173648,5.13235,8.76739,0.0044193,0.0046193,0.00619334,0.00606934,0.00439476,0.00445676,0.00614143,0.00597144,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.30881e-08,3.83686e-09,3.83685e-09,5,5,5,5,3.83685e-09,3.83686e-09,1.45778e-06,5,2,1,0,3,1,1,2,1
15,0.00565014,0.965926,0,0.258819,7.56787,11.5478,0.00465116,0.00485116,0.00654848,0.00642448,0.00457675,0.00463876,0.0063946,0.0062246,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,6.15281e-09,3.83685e-09,3.83669e-09,5,5,5,5,3.83669e-09,3.83685e-09,9.78043e-08,5,2,1,0,3,1,1,2,1
20,0.00746646,0.939693,0,0.34202,8.87838,13.1752,0.00496828,0.00516828,0.00702004,0.00689604,0.0048068,0.0048688,0.0066954,0.0065254,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.28962e-09,3.83667e-09,3.52535e-08,5,5,5,5,3.52534e-08,3.83667e-09,2.03624e-08,5,2,1,0,3,1,1,2,1
25,0.00922596,0.906308,0,0.422618,9.41466,13.9438,0.00535978,0.00555978,0.00757777,0.00745377,0.00507122,0.00513322,0.00701633,0.00684633,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.98783e-09,3.84917e-09,3.90451e-09,5,5,5,5,3.90451e-09,3.84917e-09,8.76448e-09,5,2,1,0,3,1,1,2,1
30,0.0109152,0.866025,0,0.5,9.56165,14.1754,0.00581307,0.00601308,0.00818876,0.00806476,0.00535838,0.00542038,0.00733566,0.00716566,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.93134e-09,2.24403e-09,4.00542e-09,5,5,5,5,4.00542e-09,2.24404e-09,6.37414e-09,5,2,1,0,3,1,1,2,1
35,0.0125214,0.819152,0,0.573576,9.55821,14.1038,0.00631523,0.00651522,0.00882123,0.00869723,0.00565881,0.0057208,0.0076373,0.0074673,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.9425e-09,3.93122e-09,4.51021e-09,5,5,5,5,4.51021e-09,3.93122e-09,6.74948e-09,5,2,1,0,3,1,1,2,1
40,0.0140324,0.766044,0,0.642788,9.48031,13.8502,0.0068537,0.0070537,0.00944646,0.00932246,0.00596496,0.00602696,0.00791,0.00774,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.0124e-09,4.00983e-09,8.29103e-09,5,5,5,5,8.29103e-09,4.00983e-09,1.04565e-08,5,2,1,0,3,1,1,2,1
45,0.0154365,0.707107,0,0.707107,9.3018,13.4477,0.00741652,0.00761652,0.0100395,0.00991552,0.00627086,0.00633286,0.00814637,0.00797636,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.20494e-09,4.20417e-09,3.12579e-07,5,5,5,5,3.12579e-07,4.20417e-09,2.32444e-08,5,2,1,0,3,1,1,2,1
