ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,10.4836,0,0.0046004,0.0048004,0.00543427,0.00531027,0.0046004,0.0046624,0.00543427,0.00526427,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.22254e-08,3.85828e-09,3.92538e-09,5,5,5,5,3.92538e-09,3.85828e-09,1.00079e-05,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,0.0754791,-0.0435779,12.7728,1.87019,0.00464155,0.00484155,0.0054123,0.0052883,0.00458685,0.00464885,0.00548535,0.00531535,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,7.98186e-09,3.85947e-09,3.92314e-09,7.20212e-05,5,5,5,3.92314e-09,3.85947e-09,4.99999,5,2,1,0,3,1,1,2,1
10,0.00379082,0.984808,0.150384,-0.0868241,14.8266,3.62686,0.00470971,0.00490971,0.00541702,0.00529302,0.00460044,0.00466244,0.00556635,0.00539635,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.82827e-09,3.8621e-09,3.92187e-09,3.01754e-07,5,5,5,3.92187e-09,3.8621e-09,5,5,2,1,0,3,1,1,2,1
15,0.00565014,0.965926,0.224144,-0.12941,16.524,5.18029,0.00480337,0.00500336,0.00544473,0.00532073,0.0046398,0.0047018,0.00567628,0.00550628,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.20499e-09,3.86671e-09,3.92175e-09,1.74247e-08,5,5,5,3.92175e-09,3.86671e-09,5,5,2,1,0,3,1,1,2,1
20,0.00746646,0.939693,0.296198,-0.17101,17.825,6.47996,0.00492015,0.00512015,0.00549089,0.00536689,0.00470267,0.00476467,0.00581238,0.00564238,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.03282e-09,3.87402e-09,3.92363e-09,5.34364e-09,5,5,5,3.92363e-09,3.87402e-09,5,5,2,1,0,3,1,1,2,1
25,0.00922596,0.906308,0.365998,-0.211309,18.7459,7.51766,0.00505705,0.00525705,0.00555056,0.00542656,0.00478617,0.00484817,0.00597032,0.00580031,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.96864e-09,3.88503e-09,3.92895e-09,4.19748e-09,5,5,5,3.92895e-09,3.88503e-09,5,5,2,1,0,3,1,1,2,1
30,0.0109152,0.866025,0.433013,-0.25,19.3393,8.31983,0.00521057,0.00541058,0.00561879,0.00549478,0.00488695,0.00494895,0.00614453,0.00597453,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.9383e-09,3.90134e-09,3.93993e-09,4.00651e-09,5,5,5,3.93993e-09,3.90134e-09,5,5,2,1,0,3,1,1,2,1
35,0.0125214,0.819152,0.496732,-0.286788,19.6729,8.93433,0.00537693,0.00557693,0.0056909,0.0055669,0.00500141,0.00506341,0.00632866,0.00615866,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,0.00188385,3.92221e-09,3.92662e-09,3.96032e-09,3.95456e-09,0.00188385,5,5,3.96032e-09,3.92662e-09,5,5,2,1,0,3,1,1,2,1
40,0.0140324,0.766044,0.55667,-0.321394,19.8174,9.41712,0.00555218,0.00575218,0.0057627,0.0056387,0.00512587,0.00518787,0.00651593,0.00634593,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.53335e-07,3.91446e-09,3.97318e-09,3.99826e-09,3.93823e-09,3.53335e-07,5,5,3.99826e-09,3.97318e-09,5,5,2,1,0,3,1,1,2,1
45,0.0154365,0.707107,0.612372,-0.353553,19.8404,9.82211,0.00573236,0.00593236,0.00583059,0.00570659,0.00525669,0.00531869,0.00669956,0.00652956,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,9.23691e-09,3.91322e-09,4.09862e-09,4.07583e-09,3.93722e-09,9.23691e-09,5,5,4.07583e-09,4.09862e-09,5,5,2,1,0,3,1,1,2,1
