ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,2.68682,0,0.00386384,0.00406384,0.00633368,0.00620968,0.00386384,0.00392584,0.00633368,0.00616368,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,2.06634e-08,3.83687e-09,3.83687e-09,5,5,5,5,3.83687e-09,3.83687e-09,4.78533e-05,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,1.06735e-17,-0.0871557,3.8019,2.12807,0.00379702,0.00399702,0.00616872,0.00604472,0.00393903,0.00400103,0.00649139,0.00632139,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,4.99613,3.83687e-09,3.83687e-09,1.27201e-08,5,5,0.00686885,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
10,0.00379082,0.984808,2.12658e-17,-0.173648,5.83942,4.1652,0.00373844,0.00393844,0.00599907,0.00587507,0.00402271,0.0040847,0.0066392,0.0064692,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83687e-09,3.83687e-09,4.04655e-09,5,5,1.60225e-08,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
15,0.00565014,0.965926,3.16962e-17,-0.258819,7.93956,6.03115,0.00368798,0.00388798,0.00582708,0.00570308,0.00411495,0.00417695,0.00677437,0.00660437,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83686e-09,3.83687e-09,3.93208e-09,5,5,4.11133e-09,3.83687e-09,3.83686e-09,5,5,0,3,0,1,1,1,2,1
20,0.00746646,0.939693,4.18854e-17,-0.34202,9.83646,7.66395,0.00364551,0.00384551,0.00565489,0.00553089,0.00421584,0.00427784,0.00689424,0.00672424,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83687e-09,3.83687e-09,3.90033e-09,5,5,3.90353e-09,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
25,0.00922596,0.906308,5.17558e-17,-0.422618,11.4228,9.02255,0.00361093,0.00381093,0.00548437,0.00536037,0.00432538,0.00438738,0.00699629,0.0068263,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83728e-09,3.83687e-09,3.87717e-09,5,5,3.85095e-09,3.83687e-09,3.83728e-09,5,5,0,3,0,1,1,1,2,1
30,0.0109152,0.866025,6.12323e-17,-0.5,12.652,10.0848,0.00358414,0.00378414,0.00531715,0.00519315,0.00444352,0.00450552,0.00707826,0.00690826,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.84386e-09,3.83687e-09,3.85756e-09,5,5,3.84056e-09,3.83687e-09,3.84386e-09,5,5,0,3,0,1,1,1,2,1
35,0.0125214,0.819152,7.02429e-17,-0.573576,13.51,10.8427,0.00356506,0.00376506,0.0051546,0.0050306,0.00457013,0.00463213,0.00713826,0.00696826,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,-9.25332e-08,3.83687e-09,3.84108e-09,5,5,3.83808e-09,3.83687e-09,-9.25334e-08,5,5,0,3,0,1,1,1,2,1
40,0.0140324,0.766044,7.87188e-17,-0.642788,14.0005,11.2958,0.00355364,0.00375364,0.00499782,0.00487382,0.00470499,0.00476699,0.00717485,0.00700485,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,1.27708e-07,3.83687e-09,3.83666e-09,5,5,3.83713e-09,3.83687e-09,1.27708e-07,5,5,0,3,0,1,1,1,2,1
45,0.0154365,0.707107,8.65956e-17,-0.707107,14.1352,11.4464,0.00354983,0.00374983,0.00484772,0.00472372,0.00484772,0.00490972,0.00718715,0.00701715,5,5,1.21974,1.81384,8.10796e-09,0.00123953,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,3.83687e-09,3.8368e-09,5,5,3.8369e-09,3.83687e-09,5,5,5,0,4,0,0,0,2,1,1
