ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,0,1.97575,0,0.00353832,0.00373832,0.00679801,0.00667401,0.00353832,0.00360032,0.00679801,0.00662801,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.92347e-08,3.83687e-09,3.83687e-09,5,5,5,5,3.83687e-09,3.83687e-09,0.000146078,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,0.0754791,0.0435779,0.499218,2.23517,0.0036566,0.0038566,0.0066999,0.0065759,0.00343306,0.00349506,0.0068769,0.0067069,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.94808e-09,3.83687e-09,3.83687e-09,2.51997e-06,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
10,0.00379082,0.984808,0.150384,0.0868241,2.24114,4.39073,0.0037886,0.0039886,0.00658473,0.00646074,0.00334012,0.00340212,0.00693477,0.00676477,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.84547e-09,3.83687e-09,3.83687e-09,3.53345e-08,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
15,0.00565014,0.965926,0.224144,0.12941,4.05595,6.38519,0.00393511,0.00413511,0.0064549,0.0063309,0.00325888,0.00332088,0.00697026,0.00680026,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83879e-09,3.83687e-09,3.83687e-09,6.14425e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
20,0.00746646,0.939693,0.296198,0.17101,5.6295,8.13383,0.00409687,0.00429686,0.00631294,0.00618894,0.00318877,0.00325077,0.00698252,0.00681252,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83703e-09,3.83687e-09,3.83686e-09,4.31645e-09,5,5,5,3.83686e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
25,0.00922596,0.906308,0.365998,0.211309,6.87485,9.5486,0.00427463,0.00447463,0.00616145,0.00603745,0.00312929,0.00319129,0.00697124,0.00680124,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83685e-09,3.83687e-09,3.83686e-09,4.04949e-09,5,5,5,3.83686e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
30,0.0109152,0.866025,0.433013,0.25,7.73036,10.5407,0.00446909,0.00466909,0.00600297,0.00587897,0.00308002,0.00314202,0.0069367,0.0067667,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83685e-09,3.83687e-09,3.83684e-09,3.97174e-09,5,5,5,3.83684e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
35,0.0125214,0.819152,0.496732,0.286788,8.17669,11.0291,0.00468084,0.00488084,0.00583993,0.00571593,0.00304058,0.00310258,0.00687973,0.00670973,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83685e-09,3.83687e-09,3.83666e-09,3.93192e-09,5,5,5,3.83666e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
40,0.0140324,0.766044,0.55667,0.321394,8.28207,10.959,0.00491029,0.00511028,0.00567458,0.00555058,0.00301068,0.00307268,0.00680168,0.00663168,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83686e-09,3.83687e-09,3.84549e-09,3.90363e-09,5,5,5,3.84549e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
45,0.0154365,0.707107,0.612372,0.353553,8.26793,10.3405,0.00515761,0.00535762,0.00550897,0.00538497,0.0029901,0.0030521,0.00670434,0.00653434,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,4.99999,3.83687e-09,3.83687e-09,3.87704e-09,3.88057e-09,4.99999,5,5,3.87704e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
