ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,0,4.22383,0,0.00423365,0.00443365,0.00590439,0.00578039,0.00423365,0.00429565,0.00590439,0.00573439,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,2.44137e-08,3.83686e-09,3.83686e-09,5,5,5,5,3.83686e-09,3.83686e-09,2.07148e-05,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,0.0754791,0.0435779,2.88898,3.65735,0.00429535,0.00449535,0.00583687,0.00571288,0.00419857,0.00426057,0.00600142,0.00583142,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.77597e-09,3.83686e-09,3.83686e-09,3.32084e-07,5,5,5,3.83686e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
10,0.00379082,0.984808,0.150384,0.0868241,5.4061,7.1672,0.00438555,0.00458555,0.00579874,0.00567474,0.00418771,0.00424972,0.00612587,0.00595587,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.00986e-09,3.83686e-09,3.83685e-09,6.50606e-09,5,5,5,3.83685e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
15,0.00565014,0.965926,0.224144,0.12941,8.5809,10.4052,0.00450545,0.00470545,0.00578774,0.00566374,0.00419837,0.00426037,0.00627364,0.00610364,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.90779e-09,3.83686e-09,3.83682e-09,4.13658e-09,5,5,5,3.83682e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
20,0.00746646,0.939693,0.296198,0.17101,11.4926,13.2823,0.00465543,0.00485544,0.00579988,0.00567588,0.00422768,0.00428968,0.006439,0.006269,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.86424e-09,3.83686e-09,3.83668e-09,3.97728e-09,5,5,5,3.83668e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
25,0.00922596,0.906308,0.365998,0.211309,13.9702,15.7443,0.004835,0.005035,0.00582996,0.00570596,0.0042728,0.0043348,0.00661513,0.00644513,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.84096e-09,3.83686e-09,3.84151e-09,3.94614e-09,5,5,5,3.84151e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
30,0.0109152,0.866025,0.433013,0.25,15.9732,17.7613,0.00504272,0.00524272,0.00587211,0.00574811,0.00433101,0.00439301,0.00679469,0.0066247,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83822e-09,3.83686e-09,-1.1186e-09,3.94194e-09,5,5,5,-1.11856e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
35,0.0125214,0.819152,0.496732,0.286788,17.5045,19.3182,0.00527629,0.00547629,0.0059204,0.0057964,0.00439981,0.00446181,0.00697035,0.00680035,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83712e-09,3.83686e-09,3.89245e-09,3.94778e-09,5,5,5,3.89245e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
40,0.0140324,0.766044,0.55667,0.321394,18.5871,20.4085,0.00553254,0.00573254,0.00596926,0.00584526,0.00447693,0.00453893,0.00713518,0.00696518,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83688e-09,3.83686e-09,3.93354e-09,3.95745e-09,5,5,5,3.93354e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
45,0.0154365,0.707107,0.612372,0.353553,19.2572,21.0336,0.00580752,0.00600752,0.00601376,0.00588976,0.00456035,0.00462235,0.00728301,0.00711301,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,5.09553e-07,3.83685e-09,3.83686e-09,4.00386e-09,3.96799e-09,5.09553e-07,5,5,4.00386e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
50,0.0167231,0.642788,0.663414,0.383022,19.5661,21.2083,0.00609658,0.00629658,0.0060498,0.0059258,0.0046483,0.0047103,0.00740861,0.00723861,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,5.10509e-09,3.83681e-09,3.83683e-09,4.19085e-09,3.97753e-09,5.10509e-09,5,5,4.19085e-09,3.83683e-09,5,5,2,0,0,4,2,1,1,2
55,0.0178825,0.573576,0.709406,0.409576,19.5805,20.9679,0.00639441,0.0065944,0.00607417,0.00595016,0.00473922,0.00480122,0.00750782,0.0073378,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,4.0287e-09,3.83673e-09,3.83677e-09,5.12897e-09,3.98451e-09,4.0287e-09,5,5,5.12897e-09,3.83677e-09,5,5,2,0,0,4,2,1,1,2
60,0.0189057,0.5,0.75,0.433013,19.3783,20.3739,0.00669513,0.00689513,0.00608455,0.00596055,0.00483173,0.00489373,0.00757759,0.00740759,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.99297e-09,3.83665e-09,3.83678e-09,1.49425e-08,3.98764e-09,3.99297e-09,5,5,1.49425e-08,3.83678e-09,5,5,2,0,0,4,2,1,1,2
65,0.0197851,0.422618,0.784886,0.453154,19.0355,19.5132,0.00699238,0.00719238,0.00607941,0.00595541,0.00492461,0.0049866,0.00761597,0.00744597,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.98622e-09,3.83749e-09,3.84132e-09,4.53575e-07,3.98608e-09,3.98622e-09,5,5,4.53575e-07,3.84132e-09,5,5,2,0,0,4,2,1,1,2
70,0.0205139,0.34202,0.813798,0.469846,18.6093,18.487,0.00727945,0.00747945,0.00605797,0.00593397,0.00501674,0.00507874,0.00762204,0.00745204,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.97979e-09,3.84563e-09,3.85534e-09,4.99999,3.97979e-09,3.97979e-09,5,5,4.99999,3.85534e-09,5,5,2,0,0,4,2,1,1,2
75,0.0210866,0.258819,0.836516,0.482963,18.1244,17.3904,0.00754942,0.00774942,0.00602005,0.00589605,0.0051071,0.0051691,0.00759584,0.00742584,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.96945e-09,3.85494e-09,3.87704e-09,5,3.96947e-09,3.96945e-09,5,5,5,3.87704e-09,5,5,2,0,0,4,2,1,1,2
80,0.0214988,0.173648,0.852869,0.492404,17.5745,16.2914,0.00779536,0.00799536,0.00596601,0.00584201,0.00519476,0.00525676,0.00753822,0.00736822,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.95621e-09,3.86469e-09,3.91464e-09,5,3.95624e-09,3.95621e-09,5,5,5,3.91464e-09,5,5,2,0,0,4,2,1,1,2
85,0.0217474,0.0871557,0.86273,0.498097,16.9338,15.2203,0.00801055,0.00821055,0.00589664,0.00577264,0.00527881,0.00534081,0.00745078,0.00728078,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.94125e-09,3.87471e-09,4.02283e-09,5,3.94128e-09,3.94125e-09,5,5,5,4.02283e-09,5,5,2,0,0,4,2,1,1,2
90,0.0218305,6.12323e-17,0.866025,0.5,16.1758,14.1754,0.00818876,0.00838876,0.00581307,0.00568908,0.00535838,0.00542038,0.00733566,0.00716566,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.92548e-09,3.88484e-09,5.7698e-09,5,3.92551e-09,3.92548e-09,5,5,5,5.7698e-09,5,5,2,0,0,4,2,1,1,2
95,0.0217474,-0.0871557,0.86273,0.498097,15.2859,13.14,0.00832453,0.00852448,0.00571673,0.00559272,0.00543264,0.00549464,0.00719553,0.00702552,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.90948e-09,3.89495e-09,5.01307e-07,5,3.90952e-09,3.90948e-09,5,5,5,5.01307e-07,5,5,2,0,0,4,2,1,1,2
100,0.0214988,-0.173648,0.852869,0.492404,14.2672,12.1001,0.00841348,0.00861348,0.00560925,0.00548525,0.0055008,0.0055628,0.00703337,0.00686337,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.89363e-09,3.90489e-09,5,5,3.89368e-09,3.89363e-09,5,5,5,5,5,5,2,0,0,4,2,1,1,2
105,0.0210866,-0.258819,0.836516,0.482963,13.1411,11.0566,0.00845263,0.00865262,0.00549246,0.00536846,0.0055621,0.0056241,0.00685244,0.00668244,7.59397e-09,5,2.17814,1.81384,4.95175,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,7.59397e-09,1.81384,2.17814,0.00123953,4.95175,3.87815e-09,3.91448e-09,5,5,3.87823e-09,3.87815e-09,5,5,5,5,5,5,2,1,1,2,0,2,1,1
