ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,1.23141,0,0.00305127,0.00325127,0.00811441,0.00799041,0.00305127,0.00311327,0.00811441,0.00794441,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.85953e-08,3.83687e-09,3.83687e-09,4.99999,5,5,5,3.83687e-09,3.83687e-09,0.00101115,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,1.06735e-17,-0.0871557,5.26978,4.12763,0.0030668,0.0032668,0.0081024,0.0079784,0.00308399,0.00314599,0.00825273,0.00808273,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.46257e-08,3.83687e-09,3.83687e-09,0.000110853,5,5,5,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
10,0.00379082,0.984808,2.12658e-17,-0.173648,8.65721,7.59258,0.0031211,0.0033211,0.00814981,0.00802581,0.00317468,0.00323668,0.00859007,0.00842007,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.99117e-07,3.83687e-09,3.83687e-09,1.32834e-06,5,5,5,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
15,0.00565014,0.965926,3.16962e-17,-0.258819,11.1742,10.2117,0.00320572,0.00340572,0.00820692,0.00808292,0.00333226,0.00339426,0.00918282,0.00901282,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,0.00047507,3.83687e-09,3.83687e-09,1.38221e-07,5,5,4.99979,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
20,0.00746646,0.939693,4.18854e-17,-0.34202,13.2643,12.3931,0.00331366,0.00351366,0.0082426,0.0081186,0.00356399,0.00362599,0.0100481,0.00987814,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83687e-09,3.83687e-09,5.84455e-08,5,5,5.05797e-08,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
25,0.00922596,0.906308,5.17558e-17,-0.422618,15.4551,14.6357,0.00343945,0.00363945,0.00824076,0.00811676,0.0038751,0.0039371,0.0111547,0.0109847,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83687e-09,3.83687e-09,3.08268e-08,5,5,4.06558e-09,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
30,0.0109152,0.866025,6.12323e-17,-0.5,17.7753,16.9866,0.00357906,0.00377906,0.00819575,0.00807175,0.00426897,0.00433097,0.0124308,0.0122608,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83686e-09,3.83687e-09,1.37263e-08,5,5,3.85727e-09,3.83687e-09,3.83686e-09,5,5,0,3,0,1,1,1,2,1
35,0.0125214,0.819152,7.02429e-17,-0.573576,19.916,19.1688,0.00372958,0.00392958,0.00810834,0.00798434,0.00474766,0.00480966,0.0137803,0.0136103,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83672e-09,3.83687e-09,7.4767e-09,5,5,3.83794e-09,3.83687e-09,3.83672e-09,5,5,0,3,0,1,1,1,2,1
40,0.0140324,0.766044,7.87188e-17,-0.642788,21.6277,20.9439,0.00388904,0.00408904,0.00798288,0.00785888,0.00531241,0.0053744,0.0150994,0.0149294,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.87891e-09,3.83687e-09,6.24881e-09,5,5,3.83687e-09,3.83687e-09,3.87891e-09,5,5,0,3,0,1,1,1,2,1
45,0.0154365,0.707107,8.65956e-17,-0.707107,22.8156,22.2137,0.00405615,0.00425615,0.00782535,0.00770135,0.00596383,0.00602583,0.0162889,0.0161189,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,2.20803e-08,3.83686e-09,5.53027e-09,5,5,3.83686e-09,3.83686e-09,2.20803e-08,5,5,0,3,0,1,1,1,2,1
