ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,0.816994,0,0.00240427,0.00260427,0.00989529,0.00977129,0.00240427,0.00246627,0.00989529,0.00972529,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.8554e-08,3.83687e-09,3.83687e-09,4.97246,5,5,5,3.83687e-09,3.83687e-09,0.0472051,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,1.06735e-17,-0.0871557,4.20134,3.42241,0.00240601,0.00260601,0.00964468,0.00952068,0.00243319,0.00249519,0.0102099,0.0100399,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,5.24336e-08,3.83687e-09,3.83687e-09,0.000535679,5,5,5,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
10,0.00379082,0.984808,2.12658e-17,-0.173648,7.44109,6.69506,0.0024321,0.0026321,0.00939702,0.00927302,0.00250026,0.00256226,0.01069,0.01052,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.77266e-07,3.83687e-09,3.83687e-09,3.61867e-05,5,5,5,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
15,0.00565014,0.965926,3.16962e-17,-0.258819,10.6631,9.93691,0.00247746,0.00267746,0.00912415,0.00900015,0.00261382,0.00267582,0.011466,0.011296,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,0.0304057,3.83687e-09,3.83687e-09,4.0765e-06,5,5,4.96798,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
20,0.00746646,0.939693,4.18854e-17,-0.34202,14.1999,13.4686,0.00253823,0.00273823,0.00881881,0.00869481,0.00278275,0.00284475,0.0126554,0.0124854,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83687e-09,3.83687e-09,1.75283e-07,5,5,6.36892e-08,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
25,0.00922596,0.906308,5.17558e-17,-0.422618,17.9987,17.2591,0.00261159,0.00281159,0.00848481,0.00836081,0.00301604,0.00307804,0.0143032,0.0141332,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83687e-09,3.83687e-09,2.10793e-08,5,5,4.196e-09,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
30,0.0109152,0.866025,6.12323e-17,-0.5,21.5069,20.7908,0.00269558,0.00289558,0.00813051,0.00800651,0.00332269,0.00338469,0.0163425,0.0161725,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83687e-09,3.83687e-09,7.77132e-09,5,5,3.87338e-09,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
35,0.0125214,0.819152,7.02429e-17,-0.573576,24.2823,23.6256,0.00278896,0.00298896,0.00776524,0.00764124,0.00371178,0.00377378,0.0186007,0.0184307,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83687e-09,3.83687e-09,5.39375e-09,5,5,3.8393e-09,3.83687e-09,3.83687e-09,5,5,0,3,0,1,1,1,2,1
40,0.0140324,0.766044,7.87188e-17,-0.642788,26.2722,25.6938,0.00289099,0.00309099,0.00739747,0.00727348,0.0041928,0.0042548,0.0208379,0.0206679,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.83686e-09,3.83687e-09,5.18142e-09,5,5,3.83688e-09,3.83687e-09,3.83686e-09,5,5,0,3,0,1,1,1,2,1
45,0.0154365,0.707107,8.65956e-17,-0.707107,27.6331,27.1365,0.00300138,0.00320138,0.00703415,0.00691015,0.00477598,0.00483798,0.0227979,0.0226279,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.8367e-09,3.83687e-09,5.09022e-09,5,5,3.83685e-09,3.83687e-09,3.8367e-09,5,5,0,3,0,1,1,1,2,1
