ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,0,1.91099,0,0.00358998,0.00378998,0.00695079,0.00682679,0.00358998,0.00365198,0.00695079,0.00678079,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.93839e-08,3.83687e-09,3.83687e-09,5,5,5,5,3.83687e-09,3.83687e-09,0.000205355,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,0.0754791,0.0435779,3.75355,4.82402,0.00367684,0.00387684,0.00675538,0.00663138,0.00352766,0.00358966,0.00717568,0.00700568,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.10129e-09,3.83687e-09,3.83687e-09,2.84484e-08,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
10,0.00379082,0.984808,0.150384,0.0868241,8.50076,9.44298,0.00379139,0.00399139,0.00659173,0.00646773,0.00348689,0.00354889,0.00742434,0.00725434,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.89483e-09,3.83687e-09,3.83687e-09,4.58971e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
15,0.00565014,0.965926,0.224144,0.12941,12.8965,13.6935,0.00393679,0.00413679,0.00645874,0.00633474,0.00346494,0.00352694,0.0076881,0.0075181,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.84385e-09,3.83687e-09,3.83687e-09,4.20812e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
20,0.00746646,0.939693,0.296198,0.17101,16.7661,17.4723,0.00411613,0.00431613,0.00635251,0.00622851,0.00345936,0.00352136,0.00795616,0.00778616,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83911e-09,3.83687e-09,3.83686e-09,4.11443e-09,5,5,5,3.83686e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
25,0.00922596,0.906308,0.365998,0.211309,20.0523,20.727,0.00433223,0.00453223,0.0062672,0.0061432,0.00346799,0.00352999,0.00821665,0.00804665,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83716e-09,3.83687e-09,3.83686e-09,4.0615e-09,5,5,5,3.83686e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
30,0.0109152,0.866025,0.433013,0.25,22.7388,23.4323,0.00458751,0.00478751,0.00619608,0.00607208,0.00348902,0.00355102,0.00845772,0.00828772,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83686e-09,3.83687e-09,3.83675e-09,4.02766e-09,5,5,5,3.83675e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
35,0.0125214,0.819152,0.496732,0.286788,24.8179,25.5667,0.00488381,0.00508381,0.00613244,0.00600844,0.00352094,0.00358294,0.00866841,0.00849842,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83686e-09,3.83687e-09,3.84598e-09,4.00321e-09,5,5,5,3.84598e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
40,0.0140324,0.766044,0.55667,0.321394,26.2735,27.0983,0.00522216,0.00542216,0.0060703,0.0059463,0.00356249,0.00362449,0.0088395,0.0086695,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83686e-09,3.83687e-09,3.88506e-09,3.98331e-09,5,5,5,3.88506e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
45,0.0154365,0.707107,0.612372,0.353553,27.08,27.9824,0.00560265,0.00580266,0.00600479,0.0058808,0.00361267,0.00367467,0.00896386,0.00879386,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83687e-09,3.83687e-09,3.94747e-09,3.96553e-09,5,5,5,3.94747e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
