ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,0,2.63516,0,0.00389759,0.00409759,0.00641045,0.00628646,0.00389759,0.00395959,0.00641045,0.00624046,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,2.08928e-08,3.83687e-09,3.83687e-09,5,5,5,5,3.83687e-09,3.83687e-09,5.67496e-05,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,0.0754791,0.0435779,2.92195,4.24029,0.00397403,0.00417403,0.00628531,0.00616131,0.00384673,0.00390873,0.00656523,0.00639523,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.24919e-09,3.83687e-09,3.83686e-09,3.69711e-08,5,5,5,3.83686e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
10,0.00379082,0.984808,0.150384,0.0868241,6.94859,8.3096,0.0040787,0.0042787,0.00619058,0.00606658,0.00381867,0.00388067,0.00674612,0.00657612,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.92438e-09,3.83687e-09,3.83686e-09,4.39108e-09,5,5,5,3.83686e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
15,0.00565014,0.965926,0.224144,0.12941,10.8258,12.067,0.00421395,0.00441395,0.00612434,0.00600034,0.00381062,0.00387262,0.0069471,0.0067771,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.86178e-09,3.83687e-09,3.83686e-09,4.02802e-09,5,5,5,3.83686e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
20,0.00746646,0.939693,0.296198,0.17101,14.2599,15.4159,0.00438164,0.00458164,0.00608247,0.00595847,0.00381993,0.00388193,0.00716027,0.00699027,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.84107e-09,3.83687e-09,3.83685e-09,3.98882e-09,5,5,5,3.83685e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
25,0.00922596,0.906308,0.365998,0.211309,17.1731,18.2997,0.00458302,0.00478302,0.00605931,0.00593531,0.00384415,0.00390615,0.0073766,0.0072066,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83798e-09,3.83687e-09,3.83675e-09,3.98026e-09,5,5,5,3.83675e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
30,0.0109152,0.866025,0.433013,0.25,19.5399,20.6861,0.00481861,0.00501861,0.0060485,0.0059245,0.00388108,0.00394308,0.0075867,0.0074167,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83698e-09,3.83687e-09,3.84e-09,3.97712e-09,5,5,5,3.84e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
35,0.0125214,0.819152,0.496732,0.286788,21.3535,22.5515,0.00508804,0.00528804,0.00604364,0.00591964,0.00392881,0.00399081,0.00778153,0.00761152,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83686e-09,3.83687e-09,3.86834e-09,3.97576e-09,5,5,5,3.86834e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
40,0.0140324,0.766044,0.55667,0.321394,22.6118,23.872,0.00539002,0.00559002,0.00603892,0.00591492,0.00398568,0.00404768,0.00795294,0.00778294,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83686e-09,3.83687e-09,3.90908e-09,3.97446e-09,5,5,5,3.90908e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
45,0.0154365,0.707107,0.612372,0.353553,23.3176,24.624,0.00572221,0.00592221,0.0060294,0.0059054,0.00405031,0.00411231,0.00809412,0.00792412,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,0.000742736,3.83687e-09,3.83687e-09,3.97646e-09,3.9719e-09,0.000742735,5,5,3.97646e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
