ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,0,2.63516,0,0.00389759,0.00409759,0.00641045,0.00628646,0.00389759,0.00395959,0.00641045,0.00624046,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,2.08928e-08,3.83687e-09,3.83687e-09,5,5,5,5,3.83687e-09,3.83687e-09,5.67496e-05,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,0,0.0871557,2.52768,4.69264,0.00393911,0.00413911,0.00649156,0.00636756,0.00393241,0.0039944,0.00647072,0.00630072,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.70975e-08,3.83687e-09,3.83687e-09,5,5,5,5,3.83687e-09,3.83687e-09,1.66038e-05,5,2,1,0,3,1,1,2,1
10,0.00379082,0.984808,0,0.173648,6.15934,8.58195,0.00406506,0.00426506,0.00673662,0.00661262,0.00403199,0.00409399,0.00663624,0.00646624,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,9.15753e-09,3.83687e-09,3.83686e-09,5,5,5,5,3.83686e-09,3.83687e-09,1.01506e-06,5,2,1,0,3,1,1,2,1
15,0.00565014,0.965926,0,0.258819,8.67945,11.2943,0.00427863,0.00447863,0.00714726,0.00702326,0.00418339,0.00424539,0.00686741,0.00669741,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.80131e-09,3.83686e-09,3.83686e-09,5,5,5,5,3.83686e-09,3.83686e-09,6.42065e-08,5,2,1,0,3,1,1,2,1
20,0.00746646,0.939693,0,0.34202,10.1817,12.9505,0.00457797,0.00477797,0.007704,0.00758,0.00437415,0.00443614,0.00712873,0.00695873,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.01597e-09,3.83686e-09,3.83675e-09,5,5,5,5,3.83675e-09,3.83686e-09,9.30722e-09,5,2,1,0,3,1,1,2,1
25,0.00922596,0.906308,0,0.422618,11.1184,13.9236,0.00495729,0.0051573,0.00837229,0.00824829,0.00459336,0.00465536,0.00739229,0.0072223,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.89963e-09,3.83684e-09,-1.97797e-07,5,5,5,5,-1.97798e-07,3.83684e-09,6.00426e-09,5,2,1,0,3,1,1,2,1
30,0.0109152,0.866025,0,0.5,11.8573,14.5608,0.00540839,0.00560839,0.00911051,0.00898651,0.00483214,0.00489414,0.00763814,0.00746814,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.85843e-09,3.83665e-09,3.91196e-09,5,5,5,5,3.91196e-09,3.83665e-09,6.10231e-09,5,2,1,0,3,1,1,2,1
35,0.0125214,0.819152,0,0.573576,12.525,15.0425,0.00592194,0.00612194,0.00987603,0.00975203,0.00508347,0.00514547,0.00785318,0.00768318,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.85544e-09,3.85146e-09,4.05058e-09,5,5,5,5,4.05058e-09,3.85146e-09,7.64348e-09,5,2,1,0,3,1,1,2,1
40,0.0140324,0.766044,0,0.642788,13.0692,15.3916,0.00648821,0.00668821,0.0106289,0.0105049,0.00534196,0.00540396,0.00802971,0.0078597,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.88278e-09,3.88269e-09,4.79824e-09,5,5,5,5,4.79824e-09,3.88269e-09,1.083e-08,5,2,1,0,3,1,1,2,1
45,0.0154365,0.707107,0,0.707107,13.3816,15.5484,0.00709733,0.00729733,0.0113337,0.0112097,0.00560346,0.00566546,0.00816396,0.00799396,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.9214e-09,3.92136e-09,1.11117e-08,5,5,5,5,1.11117e-08,3.92136e-09,1.55455e-08,5,2,1,0,3,1,1,2,1
