ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,0,10.4836,0,0.0046004,0.0048004,0.00543427,0.00531027,0.0046004,0.0046624,0.00543427,0.00526427,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.22254e-08,3.85828e-09,3.92538e-09,5,5,5,5,3.92538e-09,3.85828e-09,1.00079e-05,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,0.0754791,0.0435779,8.98211,3.07221,0.00464187,0.00484187,0.00541276,0.00528876,0.00458654,0.00464854,0.00548487,0.00531488,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,7.90151e-09,3.85929e-09,3.92356e-09,8.13442e-05,5,5,5,3.92356e-09,3.85929e-09,4.99999,5,2,1,0,3,1,1,2,1
10,0.00379082,0.984808,0.150384,0.0868241,8.96252,6.01191,0.00471172,0.00491172,0.00541979,0.00529578,0.00459855,0.00466055,0.00556341,0.00539341,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.74373e-09,3.86095e-09,3.9244e-09,3.99234e-07,5,5,5,3.9244e-09,3.86095e-09,5,5,2,1,0,3,1,1,2,1
15,0.00565014,0.965926,0.224144,0.12941,10.1349,8.70687,0.00480969,0.00500969,0.00545314,0.00532914,0.00463397,0.00469597,0.00566706,0.00549706,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.1428e-09,3.86313e-09,3.92958e-09,2.81459e-08,5,5,5,3.92958e-09,3.86313e-09,5,5,2,1,0,3,1,1,2,1
20,0.00746646,0.939693,0.296198,0.17101,11.7874,11.0774,0.00493449,0.00513449,0.00550924,0.00538524,0.0046898,0.0047518,0.0057917,0.0056217,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.98715e-09,3.86591e-09,3.94166e-09,7.59159e-09,5,5,5,3.94166e-09,3.86591e-09,5,5,2,1,0,3,1,1,2,1
25,0.00922596,0.906308,0.365998,0.211309,13.4407,13.078,0.00508385,0.00528385,0.00558348,0.00545948,0.00476271,0.00482471,0.00593219,0.00576219,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.92969e-09,3.8696e-09,3.96625e-09,4.91528e-09,5,5,5,3.96625e-09,3.8696e-09,5,5,2,1,0,3,1,1,2,1
30,0.0109152,0.866025,0.433013,0.25,14.8945,14.6913,0.00525463,0.00545463,0.0056707,0.0055467,0.00484929,0.00491129,0.00608287,0.00591286,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.89963e-09,3.87465e-09,4.01889e-09,4.33297e-09,5,5,5,4.01889e-09,3.87465e-09,5,5,2,1,0,3,1,1,2,1
35,0.0125214,0.819152,0.496732,0.286788,16.0955,15.92,0.00544304,0.00564304,0.00576555,0.00564154,0.00494615,0.00500815,0.00623786,0.00606786,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,0.0488161,3.88122e-09,3.88155e-09,4.16286e-09,4.15763e-09,0.0488156,5,5,4.16286e-09,3.88155e-09,5,5,2,1,0,3,1,1,2,1
40,0.0140324,0.766044,0.55667,0.321394,17.0538,16.7804,0.00564476,0.00584476,0.00586284,0.00573884,0.0050501,0.0051121,0.00639145,0.00622145,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,6.05543e-07,3.87137e-09,3.89087e-09,4.7482e-09,4.09605e-09,6.05543e-07,5,5,4.7482e-09,3.89087e-09,5,5,2,1,0,3,1,1,2,1
45,0.0154365,0.707107,0.612372,0.353553,17.8025,17.2986,0.00585515,0.00605515,0.00595779,0.00583379,0.00515814,0.00522014,0.00653829,0.00636829,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,2.08011e-08,3.87001e-09,3.90335e-09,8.59592e-09,4.07855e-09,2.0801e-08,5,5,8.59592e-09,3.90335e-09,5,5,2,1,0,3,1,1,2,1
