ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,0.816994,0,0.00240427,0.00260427,0.00989529,0.00977129,0.00240427,0.00246627,0.00989529,0.00972529,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,1.8554e-08,3.83687e-09,3.83687e-09,4.97246,5,5,5,3.83687e-09,3.83687e-09,0.0472051,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,0.0754791,-0.0435779,6.06086,5.91969,0.00249057,0.00269056,0.00894762,0.00882362,0.00233579,0.00239779,0.0109701,0.0108001,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.07268e-09,3.83687e-09,3.83687e-09,2.89392e-06,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
10,0.00379082,0.984808,0.150384,-0.0868241,11.3054,10.8736,0.00259568,0.00279568,0.00811249,0.00798848,0.00228423,0.00234622,0.0121887,0.0120187,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.88988e-09,3.83687e-09,3.83687e-09,1.17976e-08,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
15,0.00565014,0.965926,0.224144,-0.12941,14.9108,14.3054,0.00272071,0.00292071,0.00737682,0.00725282,0.00224877,0.00231077,0.0135694,0.0133994,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.84387e-09,3.83687e-09,3.83687e-09,5.18008e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
20,0.00746646,0.939693,0.296198,-0.17101,16.7948,16.1273,0.00286692,0.00306692,0.00672891,0.00660492,0.00222869,0.00229069,0.0151312,0.0149612,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83946e-09,3.83687e-09,3.83687e-09,4.61598e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
25,0.00922596,0.906308,0.365998,-0.211309,17.1867,16.5338,0.00303572,0.00323572,0.00615827,0.00603426,0.00222332,0.00228532,0.0168886,0.0167186,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.8374e-09,3.83687e-09,3.83687e-09,4.01253e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
30,0.0109152,0.866025,0.433013,-0.25,16.4113,15.8195,0.00322867,0.00342867,0.00565547,0.00553148,0.00223207,0.00229407,0.0188397,0.0186697,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83689e-09,3.83687e-09,3.83687e-09,3.90023e-09,5,5,5,3.83687e-09,3.83687e-09,5,5,2,1,0,3,1,1,2,1
35,0.0125214,0.819152,0.496732,-0.286788,14.7952,14.2942,0.00344753,0.00364753,0.00521219,0.00508819,0.00225439,0.00231639,0.0209452,0.0207752,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83682e-09,3.83686e-09,3.83687e-09,3.84654e-09,5,5,5,3.83687e-09,3.83686e-09,5,5,2,1,0,3,1,1,2,1
40,0.0140324,0.766044,0.55667,-0.321394,12.6616,12.2782,0.00369421,0.00389421,0.00482103,0.00469703,0.00228985,0.00235185,0.0231013,0.0229313,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83683e-09,3.83685e-09,3.83687e-09,3.83682e-09,5,5,5,3.83687e-09,3.83685e-09,5,5,2,1,0,3,1,1,2,1
45,0.0154365,0.707107,0.612372,-0.353553,10.3845,10.1602,0.0039708,0.0041708,0.00447552,0.00435152,0.00233807,0.00240007,0.0251236,0.0249536,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.83684e-09,3.83684e-09,3.83687e-09,3.83686e-09,5,5,5,3.83686e-09,3.83684e-09,5,5,2,1,0,3,1,1,2,1
50,0.0167231,0.642788,0.663414,-0.383022,8.50229,8.50868,0.0042795,0.0044795,0.00417,0.004046,0.00239874,0.00246074,0.0267607,0.0265907,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.90723e-09,3.83685e-09,3.83683e-09,3.83686e-09,3.83687e-09,3.90723e-09,5,5,3.83686e-09,3.83683e-09,5,5,2,0,0,4,2,1,1,2
55,0.0178825,0.573576,0.709406,-0.409576,7.77662,8.07135,0.00462259,0.00482259,0.00389957,0.00377557,0.00247167,0.00253367,0.0277516,0.0275816,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83704e-09,3.83686e-09,3.83684e-09,3.83671e-09,3.83687e-09,3.83704e-09,5,5,3.83671e-09,3.83684e-09,5,5,2,0,0,4,2,1,1,2
60,0.0189057,0.5,0.75,-0.433013,8.66113,9.18394,0.00500233,0.00520233,0.00365996,0.00353596,0.00255671,0.00261871,0.0279082,0.0277382,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83686e-09,3.83686e-09,3.83763e-09,3.85854e-09,3.83687e-09,3.83686e-09,5,5,3.85854e-09,3.83763e-09,5,5,2,0,0,4,2,1,1,2
65,0.0197851,0.422618,0.784886,-0.453154,10.695,11.3488,0.00542084,0.00562084,0.00344749,0.00332349,0.00265382,0.00271582,0.0271821,0.0270121,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83687e-09,3.83687e-09,3.84399e-09,3.91393e-09,3.83687e-09,3.83687e-09,5,5,3.91393e-09,3.84399e-09,5,5,2,0,0,4,2,1,1,2
70,0.0205139,0.34202,0.813798,-0.469846,13.1524,13.9014,0.00587989,0.00607989,0.00325899,0.00313499,0.002763,0.002825,0.0256767,0.0255067,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.83687e-09,3.83687e-09,2.04713e-08,4.03095e-09,3.83687e-09,3.83687e-09,5,5,4.03095e-09,2.04712e-08,5,5,2,0,0,4,2,1,1,2
