ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,10.5134,0,0.00459538,0.00479538,0.00542764,0.00530364,0.00459538,0.00465738,0.00542764,0.00525764,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.20763e-08,3.85839e-09,3.92588e-09,5,5,5,5,3.92588e-09,3.85839e-09,9.91834e-06,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,1.06735e-17,-0.0871557,9.04953,0.693079,0.00456537,0.00476537,0.00538447,0.00526047,0.0046285,0.0046905,0.0054677,0.0052977,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,6.4764e-07,3.87888e-09,3.89447e-09,2.21906e-05,5,5,5,3.89447e-09,3.87888e-09,5,5,0,3,0,1,1,1,2,1
10,0.00379082,0.984808,2.12658e-17,-0.173648,8.13267,1.36413,0.00453861,0.00473861,0.00533865,0.00521465,0.0046646,0.0047266,0.00550423,0.00533422,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,0.000614768,3.90917e-09,3.87435e-09,1.29508e-07,5,5,4.99985,3.87435e-09,3.90917e-09,5,5,0,3,0,1,1,1,2,1
15,0.00565014,0.965926,3.16962e-17,-0.258819,8.04861,1.99205,0.00451521,0.0047152,0.00529066,0.00516666,0.00470348,0.00476548,0.0055368,0.0053668,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,-1.71256e-09,2.17814,2.17814,4.95175,4.95175,5,5,3.96781e-09,3.86007e-09,1.05423e-08,5,5,3.72716e-06,3.86007e-09,3.96781e-09,5,5,0,3,0,1,1,1,2,1
20,0.00746646,0.939693,4.18854e-17,-0.34202,8.80894,2.55752,0.00449525,0.00469525,0.00524095,0.00511695,0.00474496,0.00480696,0.00556506,0.00539506,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,4.19622e-09,3.84976e-09,4.76465e-09,5,5,9.49389e-08,3.84976e-09,4.19622e-09,5,5,0,3,0,1,1,1,2,1
25,0.00922596,0.906308,5.17558e-17,-0.422618,10.1396,3.04362,0.00447883,0.00467883,0.00519,0.005066,0.00478882,0.00485082,0.00558865,0.00541866,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,6.59292e-09,3.84261e-09,4.11029e-09,5,5,1.21473e-08,3.84261e-09,6.59292e-09,5,5,0,3,0,1,1,1,2,1
30,0.0109152,0.866025,6.12323e-17,-0.5,11.726,3.43628,0.00446599,0.00466599,0.00513826,0.00501426,0.00483481,0.00489681,0.00560731,0.00543732,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,9.16082e-08,3.83929e-09,3.97433e-09,5,5,5.30714e-09,3.83929e-09,9.16083e-08,5,5,0,3,0,1,1,1,2,1
35,0.0125214,0.819152,7.02429e-17,-0.573576,13.35,3.72455,0.00445679,0.00465679,0.00508618,0.00496218,0.00488266,0.00494466,0.00562081,0.00545081,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,5,5,0.000216694,3.83888e-09,3.92499e-09,5,5,4.27789e-09,3.83888e-09,0.000216694,5,5,0,3,0,1,1,1,2,1
40,0.0140324,0.766044,7.87188e-17,-0.642788,14.8851,3.90061,0.00445126,0.00465126,0.00503419,0.00491019,0.00493206,0.00499406,0.00562898,0.00545898,5,5,1.21974,1.81384,8.10796e-09,0.00123953,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,3.83866e-09,3.89777e-09,5,5,4.04182e-09,3.83866e-09,5,5,5,0,3,0,1,1,1,2,1
45,0.0154365,0.707107,8.65956e-17,-0.707107,16.2662,3.95981,0.00444941,0.00464941,0.00498269,0.00485869,0.00498269,0.00504469,0.00563171,0.00546171,5,5,1.21974,1.81384,8.10796e-09,0.00123953,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,5,3.83859e-09,3.87912e-09,5,5,3.96304e-09,3.83859e-09,5,5,5,0,4,0,0,0,2,1,1
