ang,peso,ux,uy,uz,miss,miss_ideal,b1_ideal,b1_medido,b2_ideal,b2_medido,b3_ideal,b3_medido,b4_ideal,b4_medido,XPv,XPt,Xv,Xt,XNv,XNt,YPv,YPt,Yv,Yt,YNv,YNt,ZPv,ZPt,Zv,Zt,ZNv,ZNt,k1XY,k1XZ,k1YZ,k2XY,k2XZ,k2YZ,k3XY,k3XZ,k3YZ,k4XY,k4XZ,k4YZ,dominante_ideal_v,votos_X_v,votos_Y_v,votos_Z_v,dominante_ideal_t,votos_X_t,votos_Y_t,votos_Z_t
0,0,1,0,-0,6.02987,0,0.00441305,0.00461305,0.00566481,0.00554081,0.00441305,0.00447505,0.00566481,0.00549481,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,2.7547e-08,3.837e-09,3.83779e-09,5,5,5,5,3.83779e-09,3.837e-09,1.39784e-05,5,0,3,0,1,0,2,2,0
5,0.00190265,0.996195,0.0754791,-0.0435779,7.75837,1.55983,0.00446481,0.00466481,0.00562065,0.00549666,0.00438839,0.00445039,0.00573835,0.00556835,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,5.66375e-09,3.83704e-09,3.83758e-09,2.28699e-06,5,5,5,3.83758e-09,3.83704e-09,5,5,2,1,0,3,1,1,2,1
10,0.00379082,0.984808,0.150384,-0.0868241,9.33094,3.01286,0.00454319,0.00474319,0.00560251,0.00547851,0.00439043,0.00445243,0.00584298,0.00567298,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,4.19144e-09,3.83709e-09,3.83735e-09,1.79448e-08,5,5,5,3.83735e-09,3.83709e-09,5,5,2,1,0,3,1,1,2,1
15,0.00565014,0.965926,0.224144,-0.12941,10.662,4.27767,0.00464691,0.00484691,0.00560585,0.00548184,0.00441797,0.00447997,0.00597838,0.00580838,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.98062e-09,3.83716e-09,3.83712e-09,4.57899e-09,5,5,5,3.83712e-09,3.83716e-09,5,5,2,1,0,3,1,1,2,1
20,0.00746646,0.939693,0.296198,-0.17101,11.7142,5.31396,0.00477393,0.00497393,0.00562552,0.00550152,0.00446905,0.00453105,0.00614206,0.00597206,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.92051e-09,3.83727e-09,3.83939e-09,4.01776e-09,5,5,5,3.83939e-09,3.83727e-09,5,5,2,1,0,3,1,1,2,1
25,0.00922596,0.906308,0.365998,-0.211309,12.4898,6.12435,0.00492166,0.00512166,0.00565627,0.00553226,0.00454116,0.00460316,0.00632951,0.00615951,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.89097e-09,3.83744e-09,3.85167e-09,3.93752e-09,5,5,5,3.85167e-09,3.83744e-09,5,5,2,1,0,3,1,1,2,1
30,0.0109152,0.866025,0.433013,-0.25,13.0175,6.74464,0.00508705,0.00528705,0.00569312,0.00556912,0.00463137,0.00469337,0.00653448,0.00636448,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.87256e-09,3.8378e-09,3.86904e-09,3.91592e-09,5,5,5,3.86904e-09,3.8378e-09,5,5,2,1,0,3,1,1,2,1
35,0.0125214,0.819152,0.496732,-0.286788,13.3408,7.2295,0.00526675,0.00546675,0.00573166,0.00560766,0.0047365,0.0047985,0.0067495,0.0065795,7.59397e-09,7.59397e-09,2.17814,2.17814,4.95175,4.95175,7.55851e-09,5,2.5794,1.81384,5,0.00123953,5,7.59397e-09,1.48635,2.17814,7.82861e-08,4.95175,5,3.86108e-09,3.84005e-09,3.8915e-09,3.9137e-09,5,5,5,3.8915e-09,3.84005e-09,5,5,2,1,0,3,1,1,2,1
40,0.0140324,0.766044,0.55667,-0.321394,13.5117,7.63969,0.00545722,0.00565722,0.00576814,0.00564414,0.00485329,0.00491529,0.00696638,0.00679638,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,0.00105855,3.85551e-09,3.85747e-09,3.92027e-09,3.91803e-09,0.00105856,5,5,3.92027e-09,3.85747e-09,5,5,2,1,0,3,1,1,2,1
45,0.0154365,0.707107,0.612372,-0.353553,13.5883,8.03302,0.00565482,0.00585482,0.00579953,0.00567553,0.00497849,0.00504049,0.00717673,0.00700674,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,7.55851e-09,7.59397e-09,2.5794,2.17814,5,4.95175,5,5,1.21974,1.81384,8.10796e-09,0.00123953,3.81102e-08,3.85574e-09,3.88351e-09,3.95955e-09,3.92316e-09,3.81102e-08,5,5,3.95955e-09,3.88351e-09,5,5,2,1,0,3,1,1,2,1
